Stock Quotes for TXN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,49.75,51.9375,48.0625,51.4375,38.924007,10815600
2000-01-04,50.75,50.8125,48.875,49.25,37.268673,7952400
2000-01-05,49.25,49.625,47.8125,48.0625,36.370064,12142400
2000-01-06,48.1875,48.75,45.25,46.75,35.37685,11758400
2000-01-07,46.28125,47.5625,45.6875,47,35.566067,12938800
2000-01-10,49.21875,50.625,48.75,50.21875,38.001747,9371200
2000-01-11,50.25,51.4375,49.28125,49.75,37.647038,7636400
2000-01-12,49.625,51.53125,49.21875,50.5,38.214577,6697600
2000-01-13,51.25,51.90625,49.3125,51.1875,38.734825,6548200
2000-01-14,52.4375,54.0625,52.375,53.9375,40.815815,8829000
2000-01-18,52.5,55.6875,52.5,55.1875,41.761711,8800800
2000-01-19,55.96875,56,54.6875,54.75,41.43066,6658400
2000-01-20,56,57.53125,55.40625,56.4375,42.70763,9374600
2000-01-21,57.375,57.5625,54.96875,55.398399,41.921314,8594600
2000-01-24,57.25,58.75,54,55.4375,41.950924,10265000
2000-01-25,56.4375,58.625,55.5625,56.9375,43.085999,15104800
2000-01-26,56.65625,56.75,54.9375,56.25,42.565742,8639600
2000-01-27,56.125,58.25,54.84375,56.5,42.787323,9990800
2000-01-28,56.03125,56.625,52.46875,53.5625,40.562756,9993400
2000-01-31,53.46875,54,51,53.875,40.799438,9603000
2000-02-01,53.8125,56.6875,52.9375,56.5625,42.83466,7616600
2000-02-02,57.6875,60.25,57.21875,59.6875,45.201229,10920800
2000-02-03,60.5,67.25,60.28125,67,50.738953,14903400
2000-02-04,65.875,69.5,65.125,66,49.981667,11947600
2000-02-07,65.625,67.71875,65.625,67.25,50.928295,7854400
2000-02-08,67.5625,69.8125,67.375,69.4375,52.584877,7639600
2000-02-09,69.5625,71.5625,69.0625,70.4375,53.342167,9807600
2000-02-10,70.3125,72.5,69,72.5,54.90411,6801800
2000-02-11,71.5,71.625,68,68.8125,52.111561,8288600
2000-02-14,69.375,69.625,66,67.3125,50.975601,8250200
2000-02-15,67.3125,67.90625,65.125,67.46875,51.093945,7677600
2000-02-16,67.9375,69.875,67.65625,67.875,51.401585,8574000
2000-02-17,67.96875,72.5,67.96875,71.5,54.14679,8459800
2000-02-18,72.5,72.5,67,67,50.738953,9154600
2000-02-22,71,75,68.75,74.5,56.418694,15547200
2000-02-23,74.40625,76.5625,72.25,73.5625,55.708725,11989800
2000-02-24,74.5,79.5,74.3125,78.875,59.731861,13451600
2000-02-25,78.6875,80.375,76.375,76.625,58.027939,9430200
2000-02-28,76.625,78.75,73,77.9375,59.021889,12205400
2000-02-29,78.5,84.84375,78.5,83.0625,62.903053,11302200
2000-03-01,83.71875,85,78.875,82.1875,62.240429,10125800
2000-03-02,82.03125,87.6875,80,86.5,65.506226,11208200
2000-03-03,89,94.0625,89,93.8125,71.043999,13211200
2000-03-06,96.125,99.78125,90.75,93,70.428711,12745000
2000-03-07,93.75,93.96875,87.8125,90,68.156837,10917000
2000-03-08,90,90.125,84.15625,86,65.127602,12086200
2000-03-09,86,90.46875,83.8125,90,68.156837,9660000
2000-03-10,90.1875,92,86.75,90.375,68.440765,8506000
2000-03-13,86.75,89.375,85.5,85.875,65.032928,8810600
2000-03-14,87,88.1875,76.5625,78.25,59.258579,12852600
2000-03-15,78.75,78.75,73,73.5,55.661377,18261000
2000-03-16,75.0625,80.96875,71.90625,80,60.583813,15793800
2000-03-17,80,85.375,79.0625,84.9375,64.323013,12554600
2000-03-20,85,87.59375,82.25,83.5625,63.2817,8981800
2000-03-21,83.5,86.25,80.9375,85.625,64.84362,7923400
2000-03-22,87,90.25,83.875,89,67.399506,9254600
2000-03-23,89,91.4375,86.25,87.125,65.979599,8781800
2000-03-24,88.125,92.46875,86,88.28125,66.855209,10100800
2000-03-27,88,91.71875,88,90.46875,68.511757,8098200
2000-03-28,90.25,90.4375,87.75,89.4375,67.730827,8277600
2000-03-29,89,89.5,84.25,85.40625,64.677948,10445400
2000-03-30,85.40625,85.5,77.5,81.5625,61.767094,12646200
2000-03-31,82.5,83.5,78.5,80,60.583813,13718400
2000-04-03,80,80.28125,74.875,75.375,57.081326,11295600
2000-04-04,75.5,76.625,64.125,72.875,55.188087,24174800
2000-04-05,72.96875,80.09375,71.1875,75,56.79734,15996000
2000-04-06,78,81,77.125,80,60.583813,10249800
2000-04-07,82,83.3125,80.375,83.25,63.045059,7803000
2000-04-10,83.75,84.5,77.625,78.1875,59.211216,7877200
2000-04-11,76,77.9375,73.03125,75,56.79734,13802800
2000-04-12,75.25,76.875,69.25,70.25,53.200199,12635400
2000-04-13,70.8125,74.875,68.625,70.9375,53.720818,12616200
2000-04-14,69.5625,70.90625,64.78125,69.5,52.632198,15033800
2000-04-17,65.375,79.5,65.375,74.5,56.418694,16798400
2000-04-18,72.8125,75,68.5,75,56.79734,21243200
2000-04-19,75,76.5,71.3125,71.5,54.14679,11299800
2000-04-20,72.5,74.46875,71.8125,72.5,54.90411,8532400
2000-04-24,71,72.78125,69.875,70.625,53.484158,8591800
2000-04-25,73.6875,76,72.8125,76,57.554646,8429400
2000-04-26,77.5,77.96875,73.875,74.5,56.418694,7174800
2000-04-27,73.375,81.4375,73,79.75,60.429039,9612200
2000-04-28,81,84.375,81,81.4375,61.707729,9997600
2000-05-01,81.875,82.71875,78.5625,80,60.618473,8312600
2000-05-02,78.90625,82.25,77.75,77.75,58.913601,8252200
2000-05-03,77.75,78.9375,72.71875,75.90625,57.516544,8063800
2000-05-04,76.25,78.4375,74.53125,77.75,58.913601,8952400
2000-05-05,78.75,80.21875,76.4375,76.90625,58.27425,7486400
2000-05-08,77.46875,77.71875,73,73.40625,55.622177,6999000
2000-05-09,73.40625,74.5,69.4375,70.65625,53.538422,11576400
2000-05-10,69.5,69.5,64.5,66.4375,50.341766,14795800
2000-05-11,65.875,70.5625,65.5,70,53.041172,9575200
2000-05-12,71.4375,73.125,69.75,70.625,53.514751,8086000
2000-05-15,70.375,72.25,67.625,71.34375,54.05938,7233400
2000-05-16,73.0625,74.5,71.4375,73.9375,56.024719,7119600
2000-05-17,73.8125,75.5,71.53125,72.4375,54.888165,8821200
2000-05-18,72.9375,73.9375,71.375,72.53125,54.959183,6360000
2000-05-19,71,71.5,67.875,69.75,52.851753,9401800
2000-05-22,68.78125,69.125,64.5625,66.875,50.673286,13305400
2000-05-23,68,68.75,64,64,48.494789,6087000
2000-05-24,64.125,69.4375,60.125,68.375,51.809875,9135500
2000-05-25,71.75,73.5625,69.375,70,53.041172,9748900
2000-05-26,68,69.1875,65.0625,67,50.767979,4726600
2000-05-30,70,72.625,68.75,72.25,54.746067,6134700
2000-05-31,72.5,73.375,70.25,72.25,54.746067,7722100
2000-06-01,74.375,78.625,73.875,78.125,59.197742,6912700
2000-06-02,83,89,82.5,85.6875,64.928055,11159600
2000-06-05,83.75,85.5,80.5,84,63.649441,5341600
2000-06-06,84.0625,85.25,80,80.5,60.997372,5502700
2000-06-07,82,84.25,78.9375,82.875,62.79697,5388300
2000-06-08,84,84.75,80.875,81.75,61.944511,4744700
2000-06-09,83.625,85,81.9375,83.75,63.459972,4066900
2000-06-12,83,83.625,78.125,79.125,59.95546,5086700
2000-06-13,80.5,83.25,78.5625,83.25,63.081127,5631000
2000-06-14,83.5,85,81.5625,81.875,62.039265,6662500
2000-06-15,81.625,83,78.5,80.5,60.997372,6712800
2000-06-16,78.5,82,78.5,82,62.133926,5308600
2000-06-19,80.875,88.875,80.875,87.75,66.490906,6370800
2000-06-20,87.3125,90,86,86.875,65.827866,7393300
2000-06-21,86,88,80,82,62.133926,5574800
2000-06-22,82.25,85.375,79.25,81.625,61.8498,16771500
2000-06-23,79.5,79.5,74,75.75,57.398125,13886900
2000-06-26,75,76.125,73,74.75,56.640385,9962900
2000-06-27,74.75,74.75,71.75,71.75,54.367218,7373300
2000-06-28,73.75,74.4375,71.25,71.625,54.272514,8286300
2000-06-29,71,73.625,67.9375,69,52.283451,9523500
2000-06-30,69.4375,71.5,68.1875,68.6875,52.046635,8848800
2000-07-03,69,69.75,68.5625,69,52.283451,3797100
2000-07-05,64.25,66,63.75,65.75,49.820824,15001800
2000-07-06,65.875,67.3125,64.5625,67,50.767979,11724900
2000-07-07,68.25,70.4375,67.875,69,52.283451,9242400
2000-07-10,68.5,69.9375,67.5625,68,51.525723,5728000
2000-07-11,67.75,69.5,64.9375,68,51.525723,8054800
2000-07-12,67.5,68,66.0625,68,51.525723,7792000
2000-07-13,68.5,72.4375,67.875,70.875,53.704208,10993100
2000-07-14,71,73,69.75,72.5,54.93552,6702000
2000-07-17,72.9375,74.5,70.75,73.5,55.693226,7907600
2000-07-18,73,73,69.9375,70.5625,53.467419,6575100
2000-07-19,70.5,70.5,67,67.25,50.957432,6282000
2000-07-20,67.5,69.375,65.5625,67.75,51.336266,8237200
2000-07-21,65.5,65.875,61.5,63.5,48.115932,15965900
2000-07-24,62.75,68.875,62.0625,68,51.525723,13576000
2000-07-25,68.75,70.375,66.375,67.0625,50.815353,14329200
2000-07-26,66.5625,66.625,62.25,64.0625,48.542145,12375200
2000-07-27,57.5,60,56.5,57.0625,43.252407,22040800
2000-07-28,58.5,58.9375,55.875,57.5,43.584038,15331200
2000-07-31,59.375,60.4375,58.3125,59.5,45.099991,11878400
2000-08-01,59.8125,59.8125,57.25,58,43.963028,7507500
2000-08-02,57.875,59.75,56.1875,57,43.205032,8061900
2000-08-03,58,58,53,55.75,42.257545,16528200
2000-08-04,59,59,53.8125,55.25,41.878574,10308000
2000-08-07,55.375,59,54.875,58.5,44.342018,9339200
2000-08-08,57.6875,61.25,57.3125,59.875,45.384224,8726800
2000-08-09,61,62.25,60,60,45.478981,7749800
2000-08-10,61,61.25,58.375,60.5,45.857971,5979700
2000-08-11,59,59.546799,56,57.25,43.394554,8302100
2000-08-14,59.875,64,58.8125,63.5,48.131935,10750600
2000-08-15,65.5,67.5,65.25,66.5,50.405899,14482800
2000-08-16,66.9375,68.875,66,66.5,50.405899,12801100
2000-08-17,66.5625,68.5625,65.5,67.5,51.163849,8400500
2000-08-18,69.125,71,69,70.625,53.532551,10660600
2000-08-21,70.625,70.75,66.1875,67.75,51.353344,9478300
2000-08-22,67.5,67.5,65,65.375,49.553143,10647500
2000-08-23,65.125,67.875,65.125,67.875,51.44809,9463200
2000-08-24,68.5,70.625,68.125,69.625,52.774559,18899900
2000-08-25,69.4375,69.6875,66.9375,67.125,50.879612,7796600
2000-08-28,67.375,69.375,66.875,69.375,52.585083,6283900
2000-08-29,67.875,68.3125,66.8125,67.0625,50.832249,7354300
2000-08-30,66.875,67.1875,65.4375,66.9375,50.737492,6414600
2000-08-31,66.0625,68,66.0625,66.75,50.595379,6629500
2000-09-01,68.4375,68.625,66.5625,67,50.784874,6724300
2000-09-05,67.0625,67.0625,65.625,66,50.026886,5182100
2000-09-06,65.0625,66,62,62.875,47.65818,10993800
2000-09-07,62.625,64.25,60.5,61.5,46.615955,10982800
2000-09-08,61.875,61.875,57.3125,58.625,44.436756,15473500
2000-09-11,57.9375,59.75,56.4375,58,43.963028,10534200
2000-09-12,58.5625,59.4375,56.6875,57.25,43.394554,8247700
2000-09-13,56.3125,58.125,55.5625,57,43.205032,9403400
2000-09-14,58.5,60.5,58.25,60.125,45.573742,10749700
2000-09-15,59.875,59.875,58.2187,59,44.721008,9535300
2000-09-18,60,62.0625,58.0625,59.1875,44.863129,8386900
2000-09-19,59.125,64.125,58.125,63.6875,48.274044,12746300
2000-09-20,62.5,63.625,58.8125,60,45.478981,15424700
2000-09-21,58.875,59.3125,52.5,53.875,40.836357,9328900
2000-09-22,54,57,53.8125,57,43.205032,13919700
2000-09-25,57.3125,57.8125,51,52,39.415127,13266700
2000-09-26,51.3125,52.5,47.875,49.0625,37.188545,19344800
2000-09-27,50.5,50.875,46.5,48.375,36.667439,16335900
2000-09-28,48.4375,49.25,47,47,35.625214,13550700
2000-09-29,47.5,48.5625,46.8125,47.5,36.004211,9547800
2000-10-02,49.1875,51.5625,48.375,50,37.899155,12730500
2000-10-03,51.5,51.5,48.25,48.75,36.951672,7995900
2000-10-04,48.8125,50.75,48.75,50.75,38.467636,10553400
2000-10-05,50,50.125,47.75,48.8125,36.999039,12253800
2000-10-06,48.25,49.875,45.75,46.875,35.530453,9927100
2000-10-09,47,47.125,43.0625,45.375,34.393463,9857300
2000-10-10,44.25,44.75,41.9375,43.25,32.782776,12301900
2000-10-11,40.375,42.5,38.4375,41.8125,31.693167,27419500
2000-10-12,43.0625,43.125,39.125,39.5625,29.987705,16921700
2000-10-13,39.5625,46.25,39.5,44.5,33.730251,16335000
2000-10-16,45.75,46,43.0625,43.5625,33.01965,9937500
2000-10-17,43.5625,43.5625,38.875,40.1875,30.461447,14058000
2000-10-18,37,39.875,35,36.875,27.950626,27928100
2000-10-19,44.75,46.375,43.25,45.75,34.677711,25188400
2000-10-20,44.75,49.875,44.1875,47.5,36.004211,15330900
2000-10-23,49.25,51.5,48.125,48.875,37.04641,13472000
2000-10-24,48.3125,48.4375,45.125,45.875,34.772488,12907400
2000-10-25,44.5,44.8125,42.125,42.625,32.309032,12586200
2000-10-26,42.625,44.8125,40.9375,44.25,33.540752,12768800
2000-10-27,46,46,43.625,44.6875,33.888668,7959200
2000-10-30,44.875,47.25,44.8125,46.6875,35.405376,8284700
2000-10-31,47.5,50.0625,47.4375,49.0625,37.206459,11319900
2000-11-01,47.75,48.0625,45.5,46.75,35.45277,9724800
2000-11-02,48.1875,48.375,46,47.5,36.021542,11247400
2000-11-03,48.125,48.125,46.3125,46.625,35.35799,5704300
2000-11-06,47,47.75,46.25,46.375,35.168404,5851900
2000-11-07,46.6875,46.6875,44.6562,44.9375,34.078274,7474700
2000-11-08,44.9375,45.625,42.0625,42.3125,32.087597,7519400
2000-11-09,41.0625,42,39.4375,41.875,31.755817,13240800
2000-11-10,40.125,40.1875,38.75,38.75,29.385992,9313300
2000-11-13,38.5,43.1875,38.375,42.3125,32.087597,13502600
2000-11-14,44.5,47.4375,43.5,45.6875,34.647026,12035500
2000-11-15,47,48.875,46.25,48,36.400703,10794000
2000-11-16,46.875,47.5,46.0625,46.5,35.263184,11141000
2000-11-17,46.5625,46.5625,42.25,43.75,33.177734,9742800
2000-11-20,43.25,44,41,42.3125,32.087597,10104500
2000-11-21,42.8125,43.3125,41.5625,41.9375,31.803234,7267200
2000-11-22,41.9375,43.5,41.5,41.6875,31.613647,8664000
2000-11-24,42.75,44.5,42.5,44,33.367329,4225100
2000-11-27,46.5,46.5625,44.0625,44.25,33.5569,12958900
2000-11-28,44.9375,45.1875,39.8125,40.5,30.713089,12886600
2000-11-29,40.5625,40.5625,38.5625,39.0625,29.62298,15402800
2000-11-30,37,38.0625,36.6875,37.3125,28.295876,17461200
2000-12-01,37.9375,39.875,36.75,37.8125,28.675045,14051100
2000-12-04,38,41.0625,37.9375,39.625,30.049555,10048200
2000-12-05,40.25,46.4375,40.25,45.6875,34.647026,13779100
