Stock Quotes for UDR,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.9375,10,9.6875,9.9375,3.697784,193500
2000-01-04,9.8125,9.875,9.4375,9.5,3.534988,289000
2000-01-05,9.625,9.9375,9.625,9.6875,3.604758,258300
2000-01-06,9.8125,10.375,9.8125,10.375,3.86058,206200
2000-01-07,10.375,10.4375,10.125,10.1875,3.790811,257600
2000-01-10,10.25,10.3125,10.125,10.1875,3.790811,179900
2000-01-11,10.25,10.375,10.125,10.3125,3.837323,254100
2000-01-12,10.1875,10.25,10.0625,10.125,3.866922,278600
2000-01-13,10.125,10.1875,9.8125,9.9375,3.795313,229300
2000-01-14,10,10.0625,9.8125,9.9375,3.795313,2696300
2000-01-18,9.875,9.9375,9.5625,9.6875,3.699834,301500
2000-01-19,9.75,10,9.6875,9.9375,3.795313,366800
2000-01-20,9.9375,10.0625,9.9375,9.9375,3.795313,211100
2000-01-21,10,10.5,10,10.4375,3.98627,607200
2000-01-24,10.5,10.5,10.25,10.25,3.914662,194700
2000-01-25,10.3125,10.375,10.25,10.25,3.914662,135100
2000-01-26,10.25,10.5,10.0625,10.125,3.866922,217500
2000-01-27,10,10.1875,9.9375,9.9375,3.795313,166700
2000-01-28,9.9375,10.0625,9.875,9.875,3.771443,125500
2000-01-31,9.8125,9.875,9.625,9.625,3.675963,213000
2000-02-01,9.625,9.9375,9.5625,9.9375,3.795313,245700
2000-02-02,9.875,10.0625,9.8125,10.0625,3.843053,158200
2000-02-03,9.9375,10.1875,9.9375,10.1875,3.890793,261300
2000-02-04,10.0625,10.375,10.0625,10.375,3.962403,322500
2000-02-07,10.25,10.3125,10.125,10.125,3.866922,147600
2000-02-08,10.125,10.3125,10,10.0625,3.843053,165400
2000-02-09,10.0625,10.125,10,10.0625,3.843053,135800
2000-02-10,10.0625,10.1875,10,10.0625,3.843053,468400
2000-02-11,10.0625,10.1875,10,10,3.819183,156400
2000-02-14,10,10.125,10,10.0625,3.843053,158200
2000-02-15,10,10.125,9.9375,10,3.819183,284200
2000-02-16,10.0625,10.0625,9.8125,9.8125,3.747574,180800
2000-02-17,9.8125,9.9375,9.8125,9.9375,3.795313,185500
2000-02-18,10,10,9.75,9.8125,3.747574,183400
2000-02-22,9.75,9.8125,9.625,9.75,3.723704,247200
2000-02-23,9.75,9.9375,9.75,9.9375,3.795313,210900
2000-02-24,9.875,9.9375,9.8125,9.8125,3.747574,133300
2000-02-25,9.8125,9.9375,9.8125,9.875,3.771443,98500
2000-02-28,9.875,10.0625,9.875,10,3.819183,210400
2000-02-29,9.875,10,9.875,10,3.819183,228000
2000-03-01,10,10,9.75,9.75,3.723704,141500
2000-03-02,9.6875,9.9375,9.6875,9.875,3.771443,218100
2000-03-03,9.9375,9.9375,9.875,9.875,3.771443,178800
2000-03-06,9.875,9.9375,9.625,9.875,3.771443,261300
2000-03-07,9.8125,9.875,9.5625,9.5625,3.652094,178600
2000-03-08,9.5625,9.8125,9.5625,9.8125,3.747574,155000
2000-03-09,9.75,9.875,9.625,9.875,3.771443,129400
2000-03-10,9.8125,9.875,9.75,9.8125,3.747574,181700
2000-03-13,9.75,9.875,9.625,9.625,3.675963,189700
2000-03-14,9.625,9.6875,9.5625,9.5625,3.652094,178200
2000-03-15,9.5625,9.9375,9.5,9.875,3.771443,362300
2000-03-16,9.875,9.9375,9.75,9.8125,3.747574,259900
2000-03-17,9.75,10,9.75,9.9375,3.795313,244800
2000-03-20,9.9375,9.9375,9.75,9.75,3.723704,132000
2000-03-21,9.8125,9.875,9.75,9.875,3.771443,100800
2000-03-22,9.8125,9.875,9.75,9.875,3.771443,106900
2000-03-23,9.75,9.875,9.75,9.8125,3.747574,225100
2000-03-24,9.8125,9.9375,9.75,9.75,3.723704,213400
2000-03-27,9.75,10,9.75,9.875,3.771443,230500
2000-03-28,9.875,9.9375,9.8125,9.8125,3.747574,172300
2000-03-29,9.9375,9.9375,9.8125,9.8125,3.747574,223100
2000-03-30,9.875,10.0625,9.8125,9.9375,3.795313,197600
2000-03-31,10,10.0625,9.9375,10.0625,3.843053,148500
2000-04-03,10.0625,10.125,9.9375,9.9375,3.795313,176100
2000-04-04,10.0625,10.0625,9.875,10,3.819183,233400
2000-04-05,10,10.1875,9.9375,10.125,3.866922,234400
2000-04-06,10.125,10.1875,10,10.1875,3.890793,233100
2000-04-07,10.1875,10.1875,10,10,3.819183,403300
2000-04-10,10.125,10.25,10.0625,10.0625,3.843053,377400
2000-04-11,10.125,10.25,10.0625,10.1875,3.890793,276500
2000-04-12,10,10.0625,9.9375,10,3.92217,425600
2000-04-13,10,10.0625,9.9375,10,3.92217,204600
2000-04-14,9.9375,10,9.8125,9.9375,3.897656,6002600
2000-04-17,9.875,9.9375,9.75,9.875,3.873142,250700
2000-04-18,9.8125,9.9375,9.8125,9.875,3.873142,173000
2000-04-19,9.8125,9.875,9.75,9.875,3.873142,197500
2000-04-20,9.875,9.9375,9.8125,9.875,3.873142,194600
2000-04-24,9.875,10.0625,9.875,9.9375,3.897656,262200
2000-04-25,10.0625,10.25,9.9375,10.125,3.971197,284600
2000-04-26,10,10.125,10,10.0625,3.946684,133500
2000-04-27,10.125,10.125,10,10.125,3.971197,89200
2000-04-28,10,10.0625,9.875,10,3.92217,300200
2000-05-01,10.0625,10.1875,9.9375,10.1875,3.995712,322300
2000-05-02,10.0625,10.375,10.0625,10.375,4.069252,294300
2000-05-03,10.4375,10.75,10.3125,10.5625,4.142791,356400
2000-05-04,10.5,10.6875,10.5,10.5,4.118277,217100
2000-05-05,10.625,10.9375,10.5625,10.9375,4.289874,236000
2000-05-08,10.8125,11.0625,10.75,10.75,4.216333,277800
2000-05-09,10.75,10.875,10.625,10.625,4.167305,170000
2000-05-10,10.75,10.75,10.5,10.5,4.118277,151900
2000-05-11,10.375,10.6875,10.375,10.625,4.167305,233600
2000-05-12,10.5,10.5625,10.375,10.5,4.118277,166400
2000-05-15,10.5,10.5,10.375,10.4375,4.093765,133800
2000-05-16,10.4375,10.4375,10.25,10.375,4.069252,224600
2000-05-17,10.375,10.375,10.1875,10.3125,4.044737,177000
2000-05-18,10.25,10.375,10.125,10.25,4.020223,210200
2000-05-19,10.1875,10.375,10.125,10.3125,4.044737,179800
2000-05-22,10.3125,10.625,10.3125,10.5625,4.142791,222300
2000-05-23,10.5,10.8125,10.5,10.6875,4.19182,230800
2000-05-24,10.6875,10.875,10.625,10.75,4.216333,303000
2000-05-25,10.75,10.8125,10.625,10.6875,4.19182,201900
2000-05-26,10.625,10.75,10.625,10.75,4.216333,117700
