Stock Quotes for USB,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,20.9375,21,20.0625,20.5625,11.367433,2354200
2000-01-04,20.375,20.375,19.1875,19.8125,10.952812,3687700
2000-01-05,19.8125,20.0625,19.3125,19.375,10.710952,2704200
2000-01-06,19.375,20.875,19.375,20.875,11.540192,4185300
2000-01-07,20.9375,22.1875,20.9375,21.6875,11.989359,4486700
2000-01-10,22.1875,22.3125,20.875,21.5625,11.920257,2594200
2000-01-11,21.5,21.5,20.375,20.75,11.471084,2032400
2000-01-12,20.875,21.9375,20.6875,21.8125,12.058457,3381300
2000-01-13,22.875,23.25,22.3125,23.25,12.853149,2848000
2000-01-14,24.25,24.875,22.875,23.25,12.853149,3074400
2000-01-18,24,24,23.1875,23.4375,12.956794,2850600
2000-01-19,23.3125,23.625,22.75,23,12.714938,2264600
2000-01-20,22.9375,23.1875,21.75,22.1875,12.265771,1660200
2000-01-21,22.4375,22.4375,21.5,21.6875,11.989359,2459600
2000-01-24,22,22,21.25,21.4375,11.851156,2060400
2000-01-25,21.1875,22.3125,21,21.75,12.023912,1984600
2000-01-26,21.5,23.625,21.5,22.8125,12.611287,3471500
2000-01-27,23.0625,23.875,23,23.125,12.784048,2206000
2000-01-28,22.75,23.125,22,22.25,12.300323,1906400
2000-01-31,22.0625,23.9375,21.9375,23.875,13.198659,2254200
2000-02-01,23.75,24.75,23.25,24.3125,13.440523,2521700
2000-02-02,24.1875,24.75,24,24.625,13.613279,2146600
2000-02-03,24.5,24.5625,23.3125,23.9375,13.23321,1991300
2000-02-04,24,24,22.3125,22.3125,12.334876,2125900
2000-02-07,22.3125,22.875,22,22.75,12.57673,1276700
2000-02-08,23.375,23.75,23.0625,23.625,13.060454,2155300
2000-02-09,23.625,23.8125,22.8125,22.9375,12.680389,1884100
2000-02-10,22.75,23.4375,22.3125,22.625,12.507624,1237700
2000-02-11,22.625,23.0625,22.125,22.1875,12.265771,1101400
2000-02-14,22.0625,22.3125,21,21.75,12.023912,2542500
2000-02-15,21.0625,22.1875,21.0625,21.9375,12.127563,2608600
2000-02-16,21.75,21.875,21,21.0625,11.643839,2217100
2000-02-17,21.25,21.4375,19.6875,19.875,10.987362,3921000
2000-02-18,19.75,20,19.125,19.1875,10.607303,4014900
2000-02-22,19.25,19.8125,19.25,19.5625,10.814607,3748000
2000-02-23,19.125,19.4375,18.875,19,10.503647,2613800
2000-02-24,19.3125,19.375,18,18.5,10.227235,3399400
2000-02-25,18.25,19.0625,17.75,18,9.950821,3465100
2000-02-28,18.1875,18.4375,18,18.375,10.25496,5374400
2000-02-29,18,18.3125,17.5,17.8125,9.941031,2756800
2000-03-01,17.8125,18.5,17.5,18.3125,10.220079,2176400
2000-03-02,18.5,18.75,18.125,18.6875,10.429363,2319100
2000-03-03,19.4375,19.4375,18.375,18.8125,10.499126,2347800
2000-03-06,18.625,18.6875,18.1875,18.3125,10.220079,2310100
2000-03-07,18.75,18.8125,17.125,17.625,9.83639,2986200
2000-03-08,17.375,17.375,16.6875,17,9.487579,3204400
2000-03-09,16.375,17.375,16.375,17.1875,9.592222,2818400
2000-03-10,17.1875,17.6875,17.0625,17.5625,9.80151,1758300
2000-03-13,16.9375,17.8125,16.9375,17.6875,9.871272,2653900
2000-03-14,17.75,18.375,17.5,17.875,9.975917,3496700
2000-03-15,17.8125,19.875,17.75,19.875,11.092101,3738600
2000-03-16,20.5,22.875,20.3125,22.875,12.766386,5996000
2000-03-17,22.8125,23,22.25,22.4375,12.522213,4704600
2000-03-20,22.5,22.625,21.75,22.125,12.347813,3228300
2000-03-21,22.4375,23.6875,22.0625,23.625,13.184951,3294900
2000-03-22,23.25,23.375,22.6875,23.3125,13.010542,2343700
2000-03-23,23.0625,23.625,22.375,23.5,13.11519,3007200
2000-03-24,23.375,23.875,23,23.6875,13.219829,2682900
2000-03-27,23.5,23.8125,22.4375,23,12.836134,2072300
2000-03-28,22.625,23.6875,22.625,23.1875,12.940785,1517200
2000-03-29,23.4375,23.625,22.75,23.1875,13.032115,1072100
2000-03-30,23.1875,23.1875,22.4375,22.5625,12.68084,1294000
2000-03-31,22.75,23.25,22.375,22.9375,12.891607,2323900
2000-04-03,23.375,24.625,23.3125,24.5,13.769775,3363400
2000-04-04,24.5,25,22.5,24.0625,13.523886,3413000
2000-04-05,24.125,24.4375,23.625,23.625,13.278005,2106700
2000-04-06,24,24.125,23.1875,23.625,13.278005,2160200
2000-04-07,23.6875,23.6875,23,23.4375,13.17262,2020200
2000-04-10,23.0625,24.3125,23.0625,23.5,13.207748,1934900
2000-04-11,23.875,25.1875,23.5,25.125,14.12105,6194600
2000-04-12,25,27.3125,25,26.375,14.823589,7165500
2000-04-13,25.9375,25.9375,25,25.125,14.12105,2689000
2000-04-14,24.875,25.3125,23.6875,25.0625,14.085921,3910900
2000-04-17,23.5,24.875,23.375,24.5625,13.804905,2433100
2000-04-18,24.25,25.9375,24.25,25.625,14.402066,2537000
2000-04-19,25.9375,26.25,25.1875,26,14.612827,2596800
2000-04-20,26.0625,26.5,25.8125,26.5,14.893843,2375500
2000-04-24,26.1875,28,26,27.75,15.596381,4777900
2000-04-25,27.4375,27.8125,26.75,27,15.174858,3077300
2000-04-26,27,27,26.25,26.625,14.964096,2244300
2000-04-27,25.75,26.0625,25,25.5,14.331809,3500200
2000-04-28,25.3125,25.625,24.5,24.875,13.980539,1910100
2000-05-01,25.625,26.375,24.875,25.5,14.331809,1771900
2000-05-02,25.5625,25.9375,25.375,25.8125,14.507446,1046900
2000-05-03,25.4375,25.8125,24.6875,24.875,13.980539,1820300
2000-05-04,24.75,24.9375,23.875,23.875,13.418511,1707600
2000-05-05,23.6875,24.4375,23.6875,24,13.488763,957000
2000-05-08,24,25.25,23.9375,24.9375,14.015669,1537900
2000-05-09,24.9375,25.4375,24.3125,24.6875,13.875163,1515800
2000-05-10,24.9375,25,24.0625,24.25,13.629275,2026500
2000-05-11,24.5,25.5625,24.4375,24.8125,13.945417,1688600
2000-05-12,24.625,25.625,24.625,25.3125,14.226424,1392200
2000-05-15,25.1875,25.75,24.9375,25.25,14.191303,1810700
2000-05-16,25.5,25.5,24.1875,24.4375,13.734649,2394800
2000-05-17,24.1875,24.1875,23,23.25,13.067239,4383900
2000-05-18,23.375,23.9375,22.5,23.0625,12.961862,3168900
2000-05-19,22.875,24.25,22.875,23.75,13.348253,1518800
2000-05-22,23.875,24.875,23.875,24.5625,13.804905,2096300
2000-05-23,24.4375,25.3125,24.4375,25,14.050796,2856400
2000-05-24,25.0625,26.1875,25.0625,25.8125,14.507446,4658200
2000-05-25,25.4375,26.0625,25.0625,25.3125,14.226424,2686100
2000-05-26,25.375,25.6875,25.125,25.5,14.331809,1246400
2000-05-30,25.5,25.9375,25.25,25.8125,14.604789,1741600
2000-05-31,25.875,25.875,25.375,25.5625,14.463334,1784600
2000-06-01,25.4375,26.875,25.4375,26.6875,15.099875,3306900
2000-06-02,27,27.5,26.75,27.4375,15.524216,2934800
2000-06-05,26.25,26.5,25.625,26.0625,14.746241,1968200
2000-06-06,25.75,25.9375,25.0625,25.8125,14.604789,1749600
2000-06-07,25.5625,26.4375,25.5625,25.75,14.569422,1622400
2000-06-08,25.6875,25.75,24.75,24.9375,14.109712,1293600
2000-06-09,25.375,25.375,24.5,24.5625,13.897533,835800
2000-06-12,24.6875,25.1875,24.6875,25,14.145074,976000
2000-06-13,24.25,25.4375,24.25,25.125,14.215799,984000
2000-06-14,25,25,24.6875,24.875,14.074347,1229700
2000-06-15,24.625,24.8125,23.125,23.4375,13.261006,2881300
2000-06-16,22.6875,22.9375,21.75,21.9375,12.412304,3856700
2000-06-19,22,22.9375,21.75,22.5625,12.765926,2520600
2000-06-20,22.5625,22.75,22.125,22.3125,12.624475,1607700
2000-06-21,21.9375,22.1875,21.6875,22,12.447666,1524100
2000-06-22,21.9375,22.3125,21.625,22.1875,12.553753,2040800
2000-06-23,22.5,22.6875,21.75,21.75,12.306214,1651500
2000-06-26,22,22.1875,21.625,22.125,12.518394,2263500
2000-06-27,22.375,23.375,22.3125,22.4375,12.695201,3257600
2000-06-28,22.625,23.5,22.25,22.3906,12.761085,2349900
2000-06-29,22.125,22.4375,21.5625,21.625,12.324751,1905000
2000-06-30,21.5625,21.875,20.875,21.0625,12.004158,2937900
2000-07-03,20.875,21.875,20.875,21.5,12.253513,1279000
2000-07-05,21.625,22.3125,21.3125,21.5,12.253513,1768700
2000-07-06,21.375,22.625,21.125,22.4375,12.787819,1615300
2000-07-07,22,23.4375,22,22.875,13.037158,2394400
2000-07-10,22.875,23.25,22.375,22.5,12.82344,908300
2000-07-11,22.125,22.875,22.125,22.5,12.82344,1510300
2000-07-12,22.5,22.9375,22.0625,22.1875,12.645339,1502900
2000-07-13,22.0625,22.1875,21.0625,21.5625,12.289127,1463400
2000-07-14,21.625,22.375,21.375,21.9375,12.502851,2545800
2000-07-17,21.5625,21.875,20.875,21.4375,12.217891,2846400
2000-07-18,21.1875,21.1875,20.5625,20.875,11.897306,2254600
2000-07-19,21.125,21.4375,20.8125,21.0625,12.004158,1694700
2000-07-20,20.9375,21.875,20.9375,21.375,12.182268,2099800
2000-07-21,21.0625,21.5,20.4375,20.9375,11.93292,2191600
2000-07-24,20.8125,21.1875,20.625,21.125,12.039787,1865400
2000-07-25,21.5,21.5,20.6875,21.5,12.253513,982300
2000-07-26,21.125,21.3125,20.25,20.5625,11.719196,2616500
2000-07-27,20.6875,20.8125,20.3125,20.3125,11.576717,1888300
2000-07-28,20.5,20.5,19.375,19.75,11.256131,1653800
2000-07-31,19.25,20.0625,19.25,19.75,11.256131,3015300
2000-08-01,20.5,21.125,20,21.0625,12.004158,2280700
2000-08-02,20.875,21.0625,20.75,20.875,11.897306,2022300
2000-08-03,21,22.0625,20.8125,22,12.538476,2419400
2000-08-04,22.1875,23.1875,22.125,23.125,13.179646,2311600
2000-08-07,23,23.375,22,23.375,13.322124,3059700
2000-08-08,23.9375,24.125,23.5,24.0625,13.713953,4354900
2000-08-09,24.625,24.625,23.6875,24.3125,13.856438,3337300
2000-08-10,24.375,24.5625,23.8125,23.8125,13.571473,1494000
2000-08-11,23.875,24.25,23.6875,24.25,13.820817,1326400
2000-08-14,24.125,25,24,25,14.248262,2044100
2000-08-15,24.875,25,24.1875,24.625,14.034538,1644000
2000-08-16,24.625,24.8125,23.75,23.75,13.535856,1412900
2000-08-17,24,24.0625,23.5625,23.6875,13.50023,1930700
2000-08-18,23.9375,23.9375,23.5,23.5625,13.428988,2212400
2000-08-21,23.8125,24.1875,23.5625,24.0625,13.713953,883300
2000-08-22,24.0625,24.8125,23.9375,24.5625,13.99892,1933800
