Stock Quotes for VIAB,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2005-12-05,40.5,43.099998,40.5,42.799999,35.85619,905200
2005-12-06,42.950001,44.389999,42.950001,44.389999,37.188217,850400
2005-12-07,44.279999,44.950001,44.279999,44.900002,37.615482,870900
2005-12-08,44.900002,44.900002,43.5,43.900002,36.777721,965300
2005-12-09,44.099998,44.25,42.830002,43.650002,36.568279,908500
2005-12-12,43.5,44.200001,43.450001,43.52,36.459377,752200
2005-12-13,43.450001,44.240002,43.299999,43.900002,36.777721,143700
2005-12-14,43.91,44.18,43.669998,43.900002,36.777721,164300
2005-12-15,43.799999,43.799999,42.880001,42.91,35.948334,180400
2005-12-16,43,43.189999,42.790001,43.189999,36.182915,147000
2005-12-19,43.099998,43.099998,42.41,42.580002,35.671875,276300
2005-12-20,42.580002,42.580002,41.849998,42,35.185963,760000
2005-12-21,42.099998,42.439999,41.799999,41.830002,35.043552,401500
2005-12-22,41.98,41.98,41.380001,41.549999,34.808964,388000
2005-12-23,41.59,41.59,41.25,41.450001,34.725208,625900
2005-12-27,41.450001,41.450001,40.200001,40.34,33.795288,491600
2005-12-28,40.240002,40.400002,39.939999,40.259998,33.728256,908400
2005-12-29,40.25,40.599998,39.82,39.950001,33.468559,660100
2005-12-30,39.950001,41.150002,39.779999,41.150002,34.473873,3564700
2006-01-03,41.119999,42.099998,38.650002,41.59,34.842491,6392100
2006-01-04,41.779999,42.200001,41.68,41.98,35.169209,6084400
2006-01-05,41.869999,42.419998,41.75,42.25,35.39542,5540600
2006-01-06,42.400002,42.950001,42.34,42.650002,35.730526,5627600
2006-01-09,42.669998,42.84,42.389999,42.5,35.604855,5130600
2006-01-10,42.25,42.509998,41.529999,42.400002,35.52108,4909000
2006-01-11,42.349998,42.400002,41.639999,41.810001,35.026806,5048000
2006-01-12,42.580002,42.580002,41.130001,41.650002,34.892765,6165400
2006-01-13,41.580002,42.259998,41.459999,42.18,35.336773,4719200
2006-01-17,41.860001,42.150002,41.610001,41.700001,34.934643,4465500
2006-01-18,41.700001,41.880001,41.119999,41.740002,34.968151,3201100
2006-01-19,41.950001,42.900002,41.830002,42.77,35.831055,3559200
2006-01-20,42.700001,42.720001,42.41,42.450001,35.562965,3967100
2006-01-23,42.450001,43.23,42.27,43.150002,36.149395,3843000
2006-01-24,43.220001,43.549999,43.029999,43.459999,36.409103,3727800
2006-01-25,43.48,43.799999,43.09,43.279999,36.258312,3816900
2006-01-26,43.5,43.849998,42.830002,43.099998,36.107506,2461200
2006-01-27,43.099998,43.59,42.790001,43.290001,36.266689,2552500
2006-01-30,43.27,43.34,42.43,42.549999,35.64674,2645800
2006-01-31,42.549999,42.57,41.43,41.48,34.750328,3835300
2006-02-01,41.330002,42.150002,41.32,42.09,35.261368,3465900
2006-02-02,42.169998,42.330002,41.41,41.77,34.993298,2738300
2006-02-03,41.52,42.080002,41.52,41.990002,35.177593,2974500
2006-02-06,41.990002,42.240002,41.860001,41.880001,35.085445,2461600
2006-02-07,41.950001,42.360001,41.84,41.849998,35.06031,3277500
2006-02-08,41.799999,42.509998,41.41,42.5,35.604855,2953400
2006-02-09,42.380001,42.889999,42.200001,42.849998,35.898064,2518600
2006-02-10,42.849998,43.099998,42.619999,42.950001,35.981842,2515300
2006-02-13,42.849998,42.889999,42.509998,42.77,35.831055,1838000
2006-02-14,42.77,43.439999,42.509998,43.189999,36.182915,2202300
2006-02-15,43,43.5,42.799999,43.400002,36.358841,1790800
2006-02-16,43.5,43.900002,43.009998,43.599998,36.526394,2503300
2006-02-17,43.610001,43.68,42.900002,42.919998,35.956703,2299800
2006-02-21,42.799999,42.799999,42.220001,42.419998,35.537842,1950200
2006-02-22,42.450001,42.470001,41.52,41.900002,35.102196,2962000
2006-02-23,41.349998,41.849998,40.470001,40.959999,34.314686,5608400
2006-02-24,40.75,40.759998,39.869999,40.16,33.644478,5639000
2006-02-27,40.169998,40.490002,39.970001,40.16,33.644478,3749200
2006-02-28,40.150002,40.240002,39.799999,39.959999,33.476936,4406900
2006-03-01,40,40.93,39.900002,40.93,34.289574,3132700
2006-03-02,40.580002,40.599998,39.799999,39.98,33.493687,4475600
2006-03-03,39.700001,39.98,39.669998,39.790001,33.334526,3727200
2006-03-06,39.790001,39.970001,38.549999,38.630001,32.362717,5281300
2006-03-07,38.509998,38.509998,37.84,38.060001,31.885197,5802100
2006-03-08,37.950001,38.32,37.669998,38.049999,31.876816,4306400
2006-03-09,38,38.389999,37.73,38.279999,32.069496,3898800
2006-03-10,38.299999,38.950001,38.200001,38.849998,32.547016,3227500
2006-03-13,38.779999,38.939999,38.599998,38.799999,32.505135,2463300
2006-03-14,38.700001,39.200001,38.700001,39,32.672691,1755400
2006-03-15,38.900002,38.970001,38.59,38.860001,32.555393,2182900
2006-03-16,38.900002,38.900002,38.299999,38.310001,32.094627,2066000
2006-03-17,38.549999,39.099998,38.419998,39,32.672691,3374800
2006-03-20,39.27,39.549999,38.919998,39,32.672691,3006500
2006-03-21,38.959999,38.98,38.09,38.099998,31.918703,2459300
2006-03-22,37.950001,38.529999,37.91,38.200001,32.002472,2279600
2006-03-23,38.200001,38.650002,38.029999,38.650002,32.379478,2221600
2006-03-24,38.5,38.810001,38.41,38.759998,32.471622,1757600
2006-03-27,38.799999,38.889999,38.599998,38.720001,32.438114,2883600
2006-03-28,38.549999,38.869999,38.369999,38.700001,32.421352,3095100
2006-03-29,38.700001,39.299999,38.549999,39.299999,32.924019,3158300
2006-03-30,39.099998,39.259998,38.77,38.950001,32.630802,1961700
2006-03-31,38.900002,39.080002,38.459999,38.799999,32.505135,3513000
2006-04-03,39.049999,39.41,38.439999,38.459999,32.220299,3338400
2006-04-04,38.380001,38.889999,38.150002,38.689999,32.412983,3050800
2006-04-05,38.68,39.110001,38.599998,38.889999,32.580536,2453000
2006-04-06,38.720001,39.200001,38.529999,39.189999,32.831856,2829600
2006-04-07,39.189999,39.57,38.700001,38.720001,32.438114,3261100
2006-04-10,38.650002,38.650002,38.32,38.400002,32.170033,2435000
2006-04-11,38.630001,38.669998,38.150002,38.34,32.11977,2515700
2006-04-12,38.32,38.52,38.209999,38.369999,32.144901,2594600
2006-04-13,38.009998,38.700001,38.009998,38.68,32.404606,1687900
2006-04-17,38.599998,38.599998,38.34,38.470001,32.228683,1695400
2006-04-18,38.650002,38.66,38.279999,38.450001,32.211918,2773100
2006-04-19,38.27,38.75,38.25,38.599998,32.337578,2624000
2006-04-20,38.599998,38.779999,38.419998,38.700001,32.421352,2158300
2006-04-21,37.75,39.029999,37.75,38.799999,32.505135,2264400
2006-04-24,38.75,39.040001,38.75,39.009998,32.681068,2082900
2006-04-25,39.099998,39.82,39.049999,39.650002,33.217239,3717300
2006-04-26,39.849998,40.240002,39.549999,40.16,33.644478,4445200
2006-04-27,40,40.419998,40,40.25,33.719887,3697900
2006-04-28,40.150002,40.150002,39.689999,39.830002,33.368034,5165600
2006-05-01,39.84,39.91,39.139999,39.27,32.898888,2291900
2006-05-02,39.299999,39.380001,38.849998,38.860001,32.555393,3612300
2006-05-03,38.779999,39.09,38.650002,39.009998,32.681068,2913400
2006-05-04,39.049999,39.869999,39.029999,39.709999,33.267494,2687600
2006-05-05,39.950001,40.18,39.700001,40.099998,33.594231,2035100
2006-05-08,40.02,40.400002,39.73,39.75,33.30101,1725500
2006-05-09,39.740002,39.830002,39.599998,39.759998,33.309387,1780800
2006-05-10,39.529999,39.639999,39.310001,39.549999,33.133457,2694300
2006-05-11,39.599998,39.939999,38.720001,38.889999,32.580536,4398100
2006-05-12,38.919998,39,38.299999,38.310001,32.094627,2415100
2006-05-15,38.25,38.32,37.98,38.150002,31.96059,5162100
2006-05-16,38.25,38.57,38.099998,38.41,32.178413,3826600
2006-05-17,38.200001,38.419998,38,38.02,31.851688,2453900
2006-05-18,38.150002,38.189999,37.27,37.27,31.223368,3034800
2006-05-19,37.48,37.720001,37.02,37.52,31.432808,3164000
2006-05-22,37.299999,37.82,37.189999,37.349998,31.290384,3850800
