Stock Quotes for VLO,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.541819,4.598949,4.270452,4.37043,2.646108,966600
2000-01-04,4.356147,4.356147,4.227605,4.327582,2.620165,1176200
2000-01-05,4.37043,4.527536,4.341865,4.484689,2.715288,866000
2000-01-06,4.484689,4.684644,4.398994,4.627514,2.801761,1265100
2000-01-07,4.627514,4.641796,4.513254,4.570384,2.767172,564500
2000-01-10,4.598949,4.598949,4.398994,4.556101,2.758524,1178000
2000-01-11,4.484689,4.498971,4.413277,4.484689,2.715288,913700
2000-01-12,4.484689,4.598949,4.456124,4.513254,2.732582,1227900
2000-01-13,4.541819,4.670361,4.513254,4.556101,2.758524,665500
2000-01-14,4.598949,4.656079,4.598949,4.598949,2.784467,844500
2000-01-18,4.627514,4.884598,4.598949,4.884598,2.957414,936000
2000-01-19,4.856033,4.927445,4.841751,4.884598,2.957414,599500
2000-01-20,4.913163,5.084552,4.884598,5.07027,3.069831,762200
2000-01-21,5.07027,5.227376,5.055987,5.198812,3.147658,3036900
2000-01-24,5.198812,5.198812,4.856033,4.870316,2.948767,1287800
2000-01-25,4.913163,4.95601,4.813186,4.813186,2.914178,1304000
2000-01-26,4.913163,5.284506,4.913163,5.141682,3.113068,2006300
2000-01-27,5.113117,5.127399,4.970293,5.055987,3.061183,1784900
2000-01-28,5.027422,5.113117,4.998857,5.055987,3.061183,1664100
2000-01-31,5.084552,5.227376,5.027422,5.198812,3.147658,2541100
2000-02-01,5.184529,5.241659,5.141682,5.213094,3.156304,1484300
2000-02-02,5.213094,5.370201,5.213094,5.341636,3.234132,2695100
2000-02-03,5.327354,5.398766,5.255941,5.313071,3.216837,1912300
2000-02-04,5.355919,5.413048,5.227376,5.255941,3.182248,1221700
2000-02-07,5.255941,5.455896,5.255941,5.313071,3.216837,1118900
2000-02-08,5.313071,5.327354,5.184529,5.255941,3.182248,3096000
2000-02-09,5.284506,5.284506,5.141682,5.141682,3.113068,1497400
2000-02-10,5.141682,5.355919,5.113117,5.284506,3.199541,2923600
2000-02-11,5.270224,5.313071,5.227376,5.313071,3.216837,1458000
2000-02-14,5.284506,5.284506,5.155964,5.170247,3.178218,2506500
2000-02-15,5.170247,5.370201,5.113117,5.370201,3.301132,2353400
2000-02-16,5.355919,5.71298,5.327354,5.555873,3.415267,6115000
2000-02-17,5.59872,5.613003,5.455896,5.498743,3.380148,2190600
2000-02-18,5.555873,5.59872,5.427331,5.455896,3.35381,778400
2000-02-22,5.513026,5.613003,5.455896,5.541591,3.406489,2392300
2000-02-23,5.541591,5.541591,5.413048,5.484461,3.37137,1008200
2000-02-24,5.484461,5.541591,5.427331,5.527308,3.397708,1937600
2000-02-25,5.59872,5.641568,5.470178,5.484461,3.37137,595100
2000-02-28,5.484461,5.627285,5.455896,5.627285,3.459167,1050200
2000-02-29,5.613003,5.82724,5.613003,5.82724,3.582081,2338900
2000-03-01,5.941499,6.155736,5.941499,6.027194,3.704995,5074800
2000-03-02,6.027194,6.269995,5.998629,6.170018,3.792791,2558200
2000-03-03,6.284278,6.312843,5.998629,6.041476,3.713773,4070900
2000-03-06,6.055758,6.198583,5.998629,6.170018,3.792791,2788300
2000-03-07,6.284278,6.627057,6.269995,6.612774,4.064959,3503800
2000-03-08,6.584209,6.584209,6.327125,6.512797,4.0035,3102500
2000-03-09,6.627057,6.627057,6.255713,6.284278,3.863028,1654100
2000-03-10,6.369973,6.769881,6.369973,6.569927,4.038619,2775600
2000-03-13,6.584209,6.798446,6.569927,6.655622,4.091296,1437900
2000-03-14,6.684186,6.712751,6.41282,6.427103,3.950825,1052800
2000-03-15,6.484232,6.655622,6.427103,6.541362,4.021061,1044500
2000-03-16,6.569927,6.898423,6.569927,6.855576,4.214211,3336700
2000-03-17,6.798446,6.812728,6.627057,6.712751,4.126417,2766900
2000-03-20,6.827011,7.012683,6.727034,6.926988,4.258111,2989600
2000-03-21,7.026965,7.084095,6.855576,6.884141,4.231771,1991000
2000-03-22,6.912706,7.16979,6.898423,7.16979,4.407362,1501800
2000-03-23,7.198355,7.312614,7.184072,7.298332,4.486379,1700900
2000-03-24,7.298332,7.298332,7.069813,7.084095,4.354685,1884300
2000-03-27,7.11266,7.141225,6.855576,6.969835,4.284449,1811600
2000-03-28,6.969835,6.969835,6.855576,6.912706,4.249331,1165300
2000-03-29,6.926988,6.955553,6.769881,6.784163,4.170316,2814200
2000-03-30,6.769881,7.084095,6.755599,7.084095,4.354685,3450400
2000-03-31,7.05553,7.084095,6.912706,7.012683,4.310788,3624200
2000-04-03,7.069813,7.341179,6.969835,7.28405,4.477601,2862700
2000-04-04,7.22692,7.241202,6.898423,6.898423,4.24055,1841400
2000-04-05,6.898423,6.898423,6.484232,6.612774,4.064959,3191400
2000-04-06,6.627057,6.641339,6.541362,6.569927,4.038619,2254000
2000-04-07,6.569927,6.855576,6.512797,6.769881,4.161534,3089000
2000-04-10,6.655622,6.712751,6.598492,6.641339,4.082519,1841400
2000-04-11,6.698469,6.769881,6.627057,6.741316,4.143973,2091200
2000-04-12,6.884141,7.16979,6.855576,7.141225,4.389805,4523000
