Stock Quotes for VMC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,39.4375,39.875,39.3125,39.375,29.117981,247700
2000-01-04,39.125,39.625,39,39.25,29.025526,252500
2000-01-05,39.25,43,39.0625,41.875,30.966742,394000
2000-01-06,41.625,42,40.9375,41.9375,31.012959,320400
2000-01-07,42.125,42.375,41.75,42.0625,31.105396,178300
2000-01-10,42.3125,44.1875,42.3125,43.75,32.353302,311700
2000-01-11,43.5625,43.5625,42.5,42.8125,31.660032,304700
2000-01-12,43,43.3125,41.8125,42.1875,31.197834,213200
2000-01-13,42.4375,43.1875,42,42.875,31.706236,274800
2000-01-14,42.9375,43.0625,42.25,43,31.798683,224000
2000-01-18,43,44.4375,42.0625,44.1875,32.676838,224300
2000-01-19,42.75,44.5625,42.75,44.125,32.63063,249600
2000-01-20,44.125,44.375,43.25,43.5625,32.214657,241000
2000-01-21,44,44,42.5625,42.75,31.613811,233200
2000-01-24,43,43.25,42,42.1875,31.197834,170600
2000-01-25,44.125,47.75,41.875,42.0625,31.105396,773000
2000-01-26,42.125,42.875,42,42.875,31.706236,483000
2000-01-27,42.625,43.625,42.625,43.0625,31.844919,279400
2000-01-28,43,43,41.625,41.9375,31.012959,215100
2000-01-31,41.8125,42.875,41.8125,42.3125,31.290268,182000
2000-02-01,42.125,42.375,41.9375,42.3125,31.290268,154400
2000-02-02,42.1875,42.75,42.0625,42.25,31.244055,87100
2000-02-03,42.625,43,41.5,42.875,31.706236,142400
2000-02-04,42.625,43.5,42.375,42.5625,31.475145,139100
2000-02-07,42.5,42.75,42,42.0625,31.105396,115100
2000-02-08,42.0625,42.3125,42,42.125,31.151628,195800
2000-02-09,42.0625,42.25,41.875,41.875,30.966742,232400
2000-02-10,42,42.75,41.9375,42.0625,31.105396,123500
2000-02-11,42.0625,42.25,40.9375,41.125,30.412106,311600
2000-02-14,41.125,41.375,40.5,41.25,30.504551,178400
2000-02-15,41.3125,42.375,41.25,42.0625,31.105396,182900
2000-02-16,42.1875,42.25,42,42.0625,31.105396,160200
2000-02-17,42,43,42,42.4375,31.3827,140400
2000-02-18,42.1875,42.4375,41.75,42,31.059179,319200
2000-02-22,42,42.75,41.875,42.25,31.244055,127600
2000-02-23,41.8125,41.8125,40.375,40.625,30.192432,193800
2000-02-24,40.625,40.6875,39.25,39.3125,29.216969,266500
2000-02-25,39.4375,40.375,39.375,40.125,29.820835,269700
2000-02-28,40.125,40.4375,39.25,40,29.727943,210000
2000-02-29,40,40.125,39.25,40,29.727943,175300
2000-03-01,39.8125,40.25,39.3125,40.25,29.913744,113900
2000-03-02,40,40.125,39,39.25,29.170519,169600
