Stock Quotes for WDC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,4.25,4.25,3.9375,3.9375,3.427318,2461900
2000-01-04,3.9375,5,3.875,4.6875,4.080139,7660300
2000-01-05,4.75,4.75,4.125,4.375,3.80813,3944600
2000-01-06,4.5,4.6875,4.3125,4.5625,3.971336,2468400
2000-01-07,4.625,5.625,4.625,5.625,4.896168,9783000
2000-01-10,5.5,5.5625,5,5,4.352149,4961300
2000-01-11,4.875,5.25,4.5,5,4.352149,4393600
2000-01-12,4.9375,5,4,4.5625,3.971336,3791800
2000-01-13,4.75,4.875,4.25,4.3125,3.753728,2919000
2000-01-14,4.375,4.75,4.3125,4.5,3.916933,2952200
2000-01-18,4.875,5.25,4.5625,5.125,4.460951,4523500
2000-01-19,5.0625,6.6875,5,6.6875,5.820999,7651500
2000-01-20,6.375,6.375,5.3125,5.5625,4.841765,8872700
2000-01-21,5.5,5.5625,5,5.125,4.460951,3447300
2000-01-24,5.3125,5.375,4.75,4.75,4.134542,3333300
2000-01-25,4.875,5.5,4.75,5.5,4.787364,3379800
2000-01-26,5.25,5.75,4.9375,5.75,5.004971,2750500
2000-01-27,5.125,5.375,4.625,4.625,4.025738,3692800
2000-01-28,4.75,5.125,4.6875,5,4.352149,2153600
2000-01-31,4.9375,4.9375,4.625,4.75,4.134542,1273400
2000-02-01,4.75,4.8125,4.5625,4.6875,4.080139,1669000
2000-02-02,4.625,4.75,4.5625,4.75,4.134542,1297000
2000-02-03,4.6875,5.1875,4.625,5.0625,4.406551,3049900
2000-02-04,5.1875,5.25,4.875,5.0625,4.406551,2031000
2000-02-07,5.0625,5.5,5,5.25,4.569757,2992100
2000-02-08,5.25,5.5625,5,5.125,4.460951,3046000
2000-02-09,5.125,5.1875,4.875,5,4.352149,1744700
2000-02-10,5,5,4.75,4.8125,4.188943,2456600
2000-02-11,4.8125,4.9375,4.25,4.9375,4.297748,2678600
2000-02-14,4.6875,4.75,4.625,4.6875,4.080139,1473100
2000-02-15,4.625,4.6875,4.5,4.5,3.916933,1696700
2000-02-16,4.625,4.625,4.5,4.5,3.916933,1352600
2000-02-17,4.5625,4.6875,4.5,4.5,3.916933,1742400
2000-02-18,4.5625,4.5625,4.3125,4.3125,3.753728,1762300
2000-02-22,4.3125,4.5,4.25,4.25,3.699326,1633300
2000-02-23,4.3125,4.3125,4.125,4.3125,3.753728,1791000
2000-02-24,4.1875,4.375,4.1875,4.25,3.699326,1769100
2000-02-25,4.125,4.25,3.9375,3.9375,3.427318,2750700
2000-02-28,4,4.125,3.9375,3.9375,3.427318,1907300
2000-02-29,4.0625,4.75,4.0625,4.5,3.916933,3057800
2000-03-01,4.5,4.6875,4.3125,4.6875,4.080139,2455600
2000-03-02,4.5625,4.75,4.5,4.75,4.134542,2013300
2000-03-03,4.875,4.875,4.375,4.5,3.916933,1960600
2000-03-06,4.625,5.125,4.5,4.8125,4.188943,4475000
2000-03-07,4.75,4.875,4.4375,4.5625,3.971336,2089500
2000-03-08,4.5625,4.6875,4.4375,4.5625,3.971336,1306300
2000-03-09,4.5625,6,4.5,6,5.222578,8568400
2000-03-10,5.625,5.75,5.1875,5.1875,4.515355,4687500
2000-03-13,5.5,7.25,5.375,7.25,6.310616,18814600
2000-03-14,7.25,7.75,6.5,6.5,5.657794,10510000
2000-03-15,6.9375,6.9375,6.375,6.5,5.657794,4792900
2000-03-16,7.4375,7.6875,7,7.625,6.637028,8804600
2000-03-17,7.5,7.9375,6,7.5,6.528224,3706000
2000-03-20,7.5,7.5625,6.75,6.9375,6.038608,2666400
2000-03-21,6.8125,7.125,6.5625,7.125,6.201812,2091000
2000-03-22,7.25,8.5,7.125,8,6.963437,6757900
2000-03-23,8,8.8125,8,8.75,7.61626,6106000
2000-03-24,8.25,8.8125,8.25,8.625,7.507457,3399800
2000-03-27,8.625,8.6875,8.125,8.25,7.181045,1644400
2000-03-28,8.125,8.1875,7.5625,7.6875,6.691429,2174100
2000-03-29,7.6875,7.75,7,7.75,6.74583,2756300
2000-03-30,7.4375,7.625,6.625,6.875,5.984205,3406700
2000-03-31,7.0625,7.5,6.5,7.4375,6.473823,4411600
2000-04-03,7.4375,7.5,6.9375,7.125,6.201812,1868800
2000-04-04,7.0625,7.25,5.8125,6.4375,5.60339,3779900
2000-04-05,6.9375,7.875,6.5,7.6875,6.691429,5536500
2000-04-06,7.8125,7.8125,7.0625,7.75,6.74583,3408200
2000-04-07,7.875,7.875,7.5,7.5625,6.582625,1469100
2000-04-10,7.5,7.625,7,7.0625,6.14741,1543400
2000-04-11,7,7,6.625,6.6875,5.820999,1620900
2000-04-12,6.6875,6.8125,6.25,6.25,5.440185,1718600
2000-04-13,6.5,6.9375,6.3125,6.75,5.875401,2214200
2000-04-14,6.5625,6.625,5.8125,6,5.222578,2838000
2000-04-17,5.5,6,5.5,5.625,4.896168,2171100
2000-04-18,5.6875,6.3125,5.6875,6.1875,5.385784,1591500
2000-04-19,6.25,7,6.125,7,6.093008,1288400
2000-04-20,6.375,6.4375,6.1875,6.1875,5.385784,1139700
2000-04-24,6,6.1875,5.8125,6.0625,5.276982,1413700
2000-04-25,6.3125,7.25,6.25,7,6.093008,3555500
2000-04-26,7.125,7.125,6.75,6.8125,5.929802,1548700
2000-04-27,6.6875,7.75,6.625,7.75,6.74583,1934500
2000-04-28,7.4375,7.5,6.75,6.875,5.984205,3017000
2000-05-01,6.9375,7.1875,6.8125,7.1875,6.256213,1402300
2000-05-02,6.9375,7,6.625,6.6875,5.820999,1155500
2000-05-03,6.625,6.75,6.4375,6.6875,5.820999,1407400
2000-05-04,6.6875,6.75,6.5,6.5625,5.712195,611400
2000-05-05,6.5,6.6875,6.5,6.5625,5.712195,481700
2000-05-08,6.4375,6.625,6.4375,6.5,5.657794,709300
