Stock Quotes for WEC,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.75,9.75,9.46875,9.53125,3.690021,592800
2000-01-04,9.5,9.625,9.46875,9.59375,3.714218,535800
2000-01-05,9.625,10.125,9.59375,10.03125,3.883595,708400
2000-01-06,10.15625,10.15625,9.9375,10,3.871497,680400
2000-01-07,10.03125,10.15625,10,10.125,3.91989,376200
2000-01-10,10.25,10.25,10.0625,10.125,3.91989,911400
2000-01-11,10.1875,10.1875,10,10,3.871497,950600
2000-01-12,10.0625,10.21875,10.0625,10.1875,3.944088,628400
2000-01-13,10.25,10.25,10.0625,10.09375,3.907793,485200
2000-01-14,10.15625,10.15625,9.9375,9.9375,3.847301,628800
2000-01-18,9.9375,9.96875,9.65625,9.75,3.774709,605200
2000-01-19,9.8125,10,9.75,10,3.871497,382000
2000-01-20,9.9375,10,9.875,9.9375,3.847301,475200
2000-01-21,9.96875,10.21875,9.9375,10.15625,3.93199,620800
2000-01-24,10.1875,10.3125,10.15625,10.15625,3.93199,880800
2000-01-25,10.15625,10.21875,10.03125,10.09375,3.907793,752400
2000-01-26,10.0625,10.15625,10.03125,10.0625,3.895694,468600
2000-01-27,10.09375,10.125,9.90625,10,3.871497,566600
2000-01-28,10.125,10.125,9.78125,9.90625,3.835202,852200
2000-01-31,9.9375,9.96875,9.875,9.875,3.823105,786800
2000-02-01,9.9375,10,9.84375,9.9375,3.847301,467400
2000-02-02,10.0625,10.21875,10,10.09375,3.907793,501200
2000-02-03,10.125,10.59375,10.09375,10.46875,4.052975,795800
2000-02-04,10.375,10.40625,10.0625,10.1875,3.944088,474200
2000-02-07,10.1875,10.1875,9.875,9.875,3.823105,842000
2000-02-08,10.0625,10.21875,10,10.03125,3.883595,420800
2000-02-09,10,10.125,9.96875,10.03125,3.883595,5588800
2000-02-10,9.8125,9.96875,9.5625,9.65625,3.889638,1075800
2000-02-11,9.6875,9.75,9.40625,9.4375,3.801523,892200
2000-02-14,9.46875,9.5,9.4375,9.5,3.826699,607800
2000-02-15,9.5,9.5,9.4375,9.4375,3.801523,582000
2000-02-16,9.40625,9.4375,9.375,9.4375,3.801523,394800
2000-02-17,9.4375,9.46875,9.34375,9.4375,3.801523,444400
2000-02-18,9.375,9.4375,9.21875,9.34375,3.763759,343800
2000-02-22,9.40625,9.40625,9.28125,9.28125,3.738585,497400
2000-02-23,9.3125,9.3125,9.125,9.21875,3.713408,519000
2000-02-24,9.21875,9.25,8.71875,8.8125,3.549766,880600
2000-02-25,8.75,8.84375,8.6875,8.75,3.524591,1185600
2000-02-28,8.75,8.875,8.65625,8.84375,3.562354,1372800
2000-02-29,8.875,8.90625,8.78125,8.84375,3.562354,747400
2000-03-01,8.84375,8.875,8.6875,8.6875,3.499416,515000
2000-03-02,8.84375,8.96875,8.78125,8.9375,3.600118,524000
2000-03-03,8.9375,8.96875,8.8125,8.84375,3.562354,528800
2000-03-06,8.84375,8.875,8.5,8.53125,3.436475,860600
2000-03-07,8.53125,8.65625,8.53125,8.5625,3.449063,887200
2000-03-08,8.65625,8.6875,8.40625,8.40625,3.386126,1244600
2000-03-09,8.4375,8.65625,8.4375,8.59375,3.461652,619400
2000-03-10,8.59375,8.65625,8.5,8.5625,3.449063,462200
2000-03-13,8.59375,8.625,8.5,8.59375,3.461652,426800
2000-03-14,8.59375,8.71875,8.53125,8.65625,3.486827,564600
2000-03-15,8.71875,9.1875,8.6875,9,3.625294,756800
2000-03-16,9.25,9.75,9.1875,9.59375,3.864463,979000
2000-03-17,9.46875,9.65625,9.28125,9.5,3.826699,671000
2000-03-20,9.53125,9.625,9.5,9.5,3.826699,321000
2000-03-21,9.53125,9.59375,9.5,9.5625,3.851874,444200
2000-03-22,9.53125,9.5625,9.03125,9.21875,3.713408,1261600
2000-03-23,9.28125,9.375,9.25,9.375,3.776348,734800
2000-03-24,9.375,9.46875,9.3125,9.3125,3.751171,346000
2000-03-27,9.28125,9.4375,9.28125,9.375,3.776348,525400
2000-03-28,9.40625,9.46875,9.28125,9.40625,3.788934,497200
2000-03-29,9.5,9.65625,9.5,9.65625,3.889638,654600
2000-03-30,9.6875,9.96875,9.6875,9.8125,3.952576,627200
2000-03-31,9.90625,9.96875,9.78125,9.96875,4.015517,807400
2000-04-03,9.96875,10.0625,9.90625,10.0625,4.05328,906400
2000-04-04,10,10.28125,9.96875,10.09375,4.065866,912800
2000-04-05,10.125,10.4375,10.0625,10.21875,4.116218,543400
2000-04-06,10.25,10.375,10.0625,10.15625,4.091043,417000
2000-04-07,10.03125,10.15625,9.9375,10.03125,4.040691,344600
2000-04-10,10.03125,10.21875,9.90625,10.1875,4.10363,404400
2000-04-11,10.21875,10.3125,10.15625,10.28125,4.141394,486200
2000-04-12,10.3125,10.625,10.28125,10.46875,4.216921,474200
2000-04-13,10.3125,10.75,10.3125,10.71875,4.317625,486600
2000-04-14,10.75,10.8125,10.375,10.4375,4.204335,431000
2000-04-17,10.4375,10.625,10.21875,10.625,4.27986,578000
2000-04-18,10.65625,10.65625,10.46875,10.625,4.27986,350800
2000-04-19,10.5625,10.59375,10.25,10.53125,4.242096,615600
2000-04-20,10.53125,10.5625,10.375,10.4375,4.204335,1072200
2000-04-24,10.46875,10.90625,10.4375,10.78125,4.342799,592400
2000-04-25,10.78125,11.28125,10.78125,11.21875,4.519029,800800
