Stock Quotes for WMT,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,68.375,69,65.5,66.8125,48.176231,8369900
2000-01-04,65.5,65.8125,64.1875,64.3125,46.373547,6745100
2000-01-05,63.875,64.375,62.1875,63,45.427147,7018700
2000-01-06,63,64.5625,62.6875,63.6875,45.922886,6544500
2000-01-07,64.5,68.9375,64.5,68.5,49.393013,7976900
2000-01-10,67.25,67.5,65.625,67.25,48.49168,6714300
2000-01-11,67.0625,67.75,65.625,66.25,47.77063,4943300
2000-01-12,66.1875,66.75,65.0625,65.0625,46.914368,4085000
2000-01-13,66,66.125,65,65.125,46.959404,5021000
2000-01-14,64,65.9375,64,64.5,46.508751,6312200
2000-01-18,63.1875,66.4375,63.0625,65.5625,47.274872,6442200
2000-01-19,65.25,65.8125,64,64.0625,46.193283,4819900
2000-01-20,64.4375,64.5,62.5,63.375,45.697548,5738100
2000-01-21,63.9375,63.9375,62.0625,62.4375,45.021553,6952500
2000-01-24,63.4375,63.4375,57.5,59.375,42.813282,7799900
2000-01-25,59.8125,61.1875,59.5,61.125,44.075161,6403800
2000-01-26,61.125,62.0625,60,61.9375,44.661011,4538400
2000-01-27,61.3125,61.5,57.875,59.125,42.63303,7323300
2000-01-28,58.875,58.875,53.5,55.125,39.74876,14029400
2000-01-31,54.5625,55.5,54.125,54.75,39.478355,7972700
2000-02-01,55,59.5,54.9375,58.6875,42.317558,8359000
2000-02-02,58.875,60.125,57.9375,58.375,42.092216,6034600
2000-02-03,58.375,58.8125,56.25,58.375,42.092216,6999000
2000-02-04,57.9375,57.9375,56,56.3125,40.605026,6549700
2000-02-07,56.625,56.625,54.625,55.75,40.199402,6043700
2000-02-08,57.3125,59.6875,56.875,59.5,42.903431,8576100
2000-02-09,60,60.125,57.3125,57.8125,41.686626,8216600
2000-02-10,57.625,58.375,56.8125,57,41.100754,4591600
2000-02-11,57.4375,57.5,55.625,56.0625,40.424755,4816700
2000-02-14,56.6875,58.875,56.5,58.875,42.452755,5803600
2000-02-15,56.9375,58,55,58,41.821823,9712100
2000-02-16,56.5,56.5,52.6875,52.75,38.036232,13585800
2000-02-17,52.9375,53.5,48,48.375,34.881557,24766700
2000-02-18,48.5,49.5,47.25,47.75,34.430904,19394400
2000-02-22,49.25,49.3125,46.75,48.125,34.701298,12342600
2000-02-23,48.4375,48.5,46.75,47,33.890083,12874400
2000-02-24,47,47.875,43.4375,47.875,34.521034,19431900
2000-02-25,44.3125,45.3125,43.625,44.5,32.087421,16908500
2000-02-28,44.5625,46.9375,44.5625,46.1875,33.304245,17836100
2000-02-29,47.9375,49.75,47.9375,48.75,35.151958,17197200
2000-03-01,49.875,50,47.5,49,35.332233,10165800
