Stock Quotes for WYNN,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2002-10-25,13,13.15,12.85,13.01,8.151368,13965800
2002-10-28,13.01,13.05,12.96,13.01,8.151368,5505900
2002-10-29,13,13.01,12.04,12.64,7.919548,2235800
2002-10-30,12.61,12.62,12.13,12.5,7.831831,905800
2002-10-31,12.56,13.02,12.5,12.61,7.900751,298900
2002-11-01,12.59,12.7,12.57,12.61,7.900751,268800
2002-11-04,12.66,12.95,12.65,12.91,8.088712,1307600
2002-11-05,12.91,13.24,12.89,13.02,8.157633,2384700
2002-11-06,13.03,13.2,13,13,8.145103,204300
2002-11-07,13.08,13.16,12.36,13.05,8.176429,724200
2002-11-08,13.02,13.03,12.83,12.93,8.101244,106400
2002-11-11,13,13,12.65,12.71,7.963403,110500
2002-11-12,12.73,12.74,11.86,11.96,7.493495,540700
2002-11-13,12.05,12.09,10.76,11.1,6.954665,685600
2002-11-14,11.13,11.25,10.88,11.09,6.948399,462800
2002-11-15,11.1,11.56,11.08,11.55,7.236609,460700
2002-11-18,11.58,13.05,11.57,12.18,7.631335,325400
2002-11-19,12.36,12.8,12.02,12.6,7.894484,211400
2002-11-20,12.56,12.6,12.23,12.41,7.775441,92700
2002-11-21,12.54,12.85,12.54,12.85,8.051122,91300
2002-11-22,12.85,12.86,12.5,12.65,7.925809,55300
2002-11-25,12.8,13,12.66,12.93,8.101244,111000
2002-11-26,12.94,12.94,12.74,12.74,7.982198,59300
2002-11-27,12.9,12.9,12.5,12.5,7.831831,94300
2002-11-29,12.78,12.89,12.6,12.82,8.032327,35400
2002-12-02,12.94,12.95,12.35,12.41,7.775441,93600
2002-12-03,12.5,12.5,12.31,12.37,7.75038,31100
2002-12-04,12.45,12.6,12.31,12.6,7.894484,42300
2002-12-05,12.85,13.3,12.76,13.28,8.320536,366100
2002-12-06,13.15,13.38,12.99,13.18,8.25788,129300
2002-12-09,13.29,13.3,12.87,13,8.145103,106900
2002-12-10,13,13.19,12.93,13,8.145103,48300
2002-12-11,13.1,13.39,13.02,13.25,8.30174,189700
2002-12-12,13.39,13.8,13.27,13.74,8.608745,361400
2002-12-13,13.72,14.39,13.53,13.6,8.52103,615500
2002-12-16,13.74,14.07,13.66,13.68,8.571153,170900
2002-12-17,13.91,13.91,13.31,13.48,8.445843,95100
2002-12-18,13.5,13.59,13.06,13.32,8.345598,110800
2002-12-19,13.5,13.5,12.5,12.75,7.988465,233700
2002-12-20,12.79,13.4,12.69,13.08,8.195227,134900
2002-12-23,13.09,13.59,13.01,13.45,8.427051,65300
2002-12-24,13.6,13.91,13.32,13.51,8.464641,52300
2002-12-26,13.66,13.66,12.96,13.25,8.30174,16300
2002-12-27,13.29,13.29,12.95,13,8.145103,42500
2002-12-30,13.09,13.36,13,13.1,8.207757,26700
2002-12-31,13.35,13.5,13.1,13.11,8.214023,72000
2003-01-02,13.01,13.5,13,13.5,8.458378,89700
2003-01-03,13.5,13.6,13.32,13.4,8.39572,73200
2003-01-06,13.4,13.56,13.29,13.29,8.326803,90700
2003-01-07,13.36,13.52,13.2,13.31,8.339332,99300
2003-01-08,13.11,13.2,12.76,13.02,8.157633,159100
