Stock Quotes for XL,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,52,53.4375,51,51.375,31.531628,451500
2000-01-04,51.125,51.125,48,49.0625,30.112312,454200
2000-01-05,49.625,50,49,49.5,30.380846,610200
2000-01-06,49.375,50.5625,49,49.875,30.610987,601300
2000-01-07,50.125,53.5,50.125,53.1875,32.644066,462200
2000-01-10,54.1875,54.875,53.25,54,33.142727,394100
2000-01-11,54.125,54.125,52.5625,53.125,32.605694,479700
2000-01-12,53.125,53.125,51,51.4375,31.56999,1886800
2000-01-13,51.8125,51.8125,49.125,51.375,31.531628,670300
2000-01-14,51.375,51.9375,50.5625,51.5625,31.646708,350600
2000-01-18,53.3125,53.3125,50.625,50.875,31.224745,550700
2000-01-19,50.8125,51.1875,50.625,50.875,31.224745,584500
2000-01-20,51.75,52.25,50.5625,51.125,31.378195,292300
2000-01-21,50.875,50.9375,49.5,49.8125,30.57262,423400
2000-01-24,49.9375,50.5,48.3125,48.375,29.690378,304600
2000-01-25,48.625,49,47.625,47.875,29.383486,266600
2000-01-26,48.5,48.5625,46.5,46.75,28.693018,220500
2000-01-27,47,48.125,46.8125,47.5625,29.191696,253400
2000-01-28,47.8125,47.8125,46.3125,46.625,28.616302,383700
2000-01-31,46.875,46.875,45.125,45.375,27.849096,245800
2000-02-01,45.3125,45.625,44.9375,45.625,28.002544,979000
2000-02-02,46.125,46.5,44.75,44.875,27.542213,691900
2000-02-03,43.25,46.875,42.625,46.625,28.616302,995500
2000-02-04,46.5,48.375,46.375,47.125,28.923164,231200
2000-02-07,47,47,45.125,45.375,27.849096,403500
2000-02-08,45.25,46.125,45.125,45.25,27.772385,483500
2000-02-09,45.125,45.125,44.5,44.625,27.388784,537700
2000-02-10,45.75,45.75,44.25,44.5,27.312071,620500
2000-02-11,43.75,44.4375,43.75,44,27.281076,850600
2000-02-14,43.75,44.4375,42.5,42.5625,26.389778,198600
2000-02-15,42.9375,44.625,42.9375,44.5625,27.629831,2043200
2000-02-16,44.875,45.75,44.8125,45.1875,28.017353,334900
2000-02-17,45.4375,45.5,43.75,44.0625,27.31982,297400
2000-02-18,43.625,43.625,41.5,42,26.041019,1266400
2000-02-22,42.75,42.8125,41.375,41.625,25.808504,286400
2000-02-23,41.875,42.25,41.0625,41.3125,25.614738,423900
2000-02-24,41.1875,41.1875,39.375,39.8125,24.684715,481000
2000-02-25,39.375,39.9375,39,39.5625,24.529703,502900
2000-02-28,41,41.375,39.625,40.75,25.265985,410300
2000-02-29,41.25,41.5625,40.3125,40.4375,25.072218,496200
2000-03-01,40.875,42.1875,40.625,41.9375,26.002275,462600
2000-03-02,42.1875,43.25,42,42.5625,26.389778,333400
2000-03-03,42.625,44.0625,42.625,43.5,26.971052,216400
2000-03-06,42.5,42.875,41.0625,42.625,26.428532,361600
2000-03-07,41.75,43.1875,41.625,42.25,26.196032,441000
2000-03-08,42.25,42.75,42.1875,42.4375,26.312271,555700
2000-03-09,42.4375,42.4375,41.6875,41.6875,25.847263,351600
2000-03-10,41.375,43,41.0625,41.9375,26.002275,222900
2000-03-13,41.9375,42.3125,41.0625,41.9375,26.002275,331600
2000-03-14,42.0625,44.5,42.0625,43.75,27.126072,665000
2000-03-15,44.0625,47.5,44.0625,46.625,28.908632,353100
2000-03-16,51,52.875,50.875,52,32.241272,1248100
2000-03-17,52.125,52.375,51.375,51.875,32.163769,463200
2000-03-20,49.875,50.375,47.25,49.0625,30.419939,690500
2000-03-21,48.75,49.875,47.4375,49.625,30.768702,713400
2000-03-22,50,50,48.625,48.9375,30.342443,349600
2000-03-23,49.25,50.5625,49.25,50.3125,31.194958,535200
2000-03-24,48.4375,50.875,48.4375,49.875,30.9237,435700
2000-03-27,49.9375,50.25,47.6875,48.125,29.838655,252500
2000-03-28,48.625,49.375,48.25,48.5625,30.109924,254400
2000-03-29,48.875,49.875,48.75,49,30.38118,667000
2000-03-30,49.25,52,48.25,51.5,31.931253,1449200
2000-03-31,51.5,56,51.375,55.375,34.333836,726000
2000-04-03,55.25,57.375,54.625,56.8125,35.225132,568300
2000-04-04,56.1875,56.375,53.25,54,33.4813,375700
2000-04-05,53.75,54.625,53.5,54.375,33.713833,391100
2000-04-06,55.125,55.125,54,54.625,33.868835,458800
2000-04-07,54.375,55.625,54,54.25,33.636322,214500
2000-04-10,54,54.6875,53.75,54.6875,33.907574,294300
2000-04-11,54.5625,54.5625,53.3125,53.75,33.326313,108400
2000-04-12,53.375,54.875,53.375,54.5625,33.83007,126800
2000-04-13,54.4375,54.4375,51,51.5625,31.969995,859100
2000-04-14,51,51,48.1875,48.3125,29.954918,669000
2000-04-17,48.3125,49.125,46.5625,47.75,29.606148,234700
2000-04-18,47.8125,48.125,47.75,47.875,29.683664,268600
2000-04-19,47.25,48.4375,46.5,47.5,29.451155,280500
2000-04-20,47.5,47.5,45.875,45.875,28.443621,378500
2000-04-24,46.125,47.25,45.75,45.75,28.366114,456100
2000-04-25,46.5,48.1875,46.5,48.1875,29.877413,402600
2000-04-26,47.9375,48.5,46.75,46.875,29.063644,258200
2000-04-27,46.375,46.375,45.5,45.9375,28.482353,473300
2000-04-28,45.6875,48.3125,45.625,47.625,29.52866,617800
2000-05-01,47.5,48,46.75,46.8125,29.024883,365300
2000-05-02,47.125,48.6875,47,47.875,29.683664,312700
2000-05-03,47.875,48.875,47,47.25,29.296143,207300
2000-05-04,47.125,50.875,47.125,50.4375,31.27247,704300
2000-05-05,50.4375,50.4375,49.6875,50.25,31.156219,241900
2000-05-08,50.125,52.25,49.9375,51.5,31.931253,294100
2000-05-09,51.125,51.8125,50.8125,51.25,31.776251,247200
2000-05-10,45.5,47.875,43.75,47.625,29.52866,1363900
2000-05-11,47.625,48.875,46.5,48.8125,30.264938,721200
2000-05-12,47.5,49.3125,47.5,48.5625,30.109924,457900
2000-05-15,49,50.25,49,50,31.001219,361500
2000-05-16,51.875,51.875,50.75,51.5625,31.969995,473800
2000-05-17,51.625,51.625,49.125,50.25,31.156219,349800
2000-05-18,50.5,53.125,50.375,52,32.241272,509000
2000-05-19,52,54.25,51.875,52.875,32.783779,748200
2000-05-22,52.75,54,52.375,52.9375,32.822529,389400
2000-05-23,53.375,55.75,53.3125,55.25,34.550041,721400
2000-05-24,55.625,58.8125,55.625,58.6875,36.699627,842800
2000-05-25,58,58,56.5,57.0625,35.683456,557700
2000-05-26,57.0625,58.875,56.875,58,36.269718,770000
2000-05-30,58,58.9375,58,58.9375,36.855976,508600
2000-05-31,58.375,59.6875,58.0625,59.5,37.207729,291900
2000-06-01,59.875,61,59.5,60.6875,37.950336,347100
2000-06-02,62.875,63.5,60.5,61,38.145737,598800
2000-06-05,60.75,61.875,58.5,58.75,36.738712,302400
2000-06-06,58.75,59.25,58.125,58.25,36.426067,251700
2000-06-07,58.25,59.375,57.875,58,36.269718,426600
2000-06-08,58.375,58.5,56.25,57,35.644379,332700
2000-06-09,57,57.5,57,57.125,35.722553,186200
2000-06-12,56.75,58,56.5,56.8125,35.527138,204200
2000-06-13,56.625,56.8125,55.5,56.6875,35.448967,240300
2000-06-14,56.5625,56.8125,55.9375,56.75,35.488033,133700
2000-06-15,58,58.25,56.1875,57.625,36.035221,479700
2000-06-16,57.625,57.625,56.5625,56.625,35.40987,154700
2000-06-19,55.625,56.3125,54.75,55.6875,34.82362,184900
2000-06-20,56.125,56.5,54.75,55,34.393715,252200
2000-06-21,55,55,53.3125,54.875,34.315525,164600
2000-06-22,55.125,55.25,54.5625,54.9375,34.35461,191800
2000-06-23,54.8125,54.9375,54.75,54.75,34.237358,128200
2000-06-26,54.75,55,54.3125,54.9375,34.35461,378000
2000-06-27,54.9375,54.9375,54,54.25,33.924702,382800
2000-06-28,54.1875,54.625,52.375,54,33.76836,470000
2000-06-29,54,54.375,52.5,54.375,34.002853,267600
2000-06-30,54.8125,54.8125,54,54.125,33.846516,202900
2000-07-03,54,54.9375,53.8125,54.9375,34.35461,127400
2000-07-05,54.875,55.9375,54.125,55.8125,34.901787,157300
2000-07-06,55.9375,56.25,54.625,55.375,34.628204,131000
2000-07-07,55.5,56.5,55.375,56.5,35.331711,234400
2000-07-10,57.25,58.5,57.25,58,36.269718,217600
2000-07-11,57.75,58.4375,57.4375,58.4375,36.543316,95900
2000-07-12,59.5,60.625,59.1875,59.875,37.442234,416100
2000-07-13,59.875,59.9375,57.75,58.125,36.347885,192000
2000-07-14,58.625,58.875,58.25,58.375,36.50423,265300
2000-07-17,58.75,58.875,57.8125,58,36.269718,182700
2000-07-18,57.625,57.75,56.5625,56.75,35.488033,108500
2000-07-19,56.5,56.625,56,56.25,35.175381,183600
2000-07-20,56.125,56.6875,56,56.25,35.175381,167000
2000-07-21,56.375,57.125,56.125,56.3125,35.214462,120300
2000-07-24,56.5625,57.625,56.5,57,35.644379,263600
2000-07-25,56.75,59.875,56.75,59.875,37.442234,370100
2000-07-26,62,64,60.5625,63.1875,39.513668,741500
2000-07-27,63.1875,65.5,63.1875,64.8125,40.529873,1147700
2000-07-28,64.6875,65.9375,64.625,65.0625,40.686184,1169800
2000-07-31,65.0625,66.75,65.0625,66,41.272442,807800
2000-08-01,66.75,66.9375,66,66.0625,41.311516,940200
2000-08-02,66,67.0625,65.625,66.875,41.819626,788500
2000-08-03,66.625,68,66.125,68,42.523121,808300
2000-08-04,67.9375,70.125,66.875,68.875,43.070293,884600
2000-08-07,69.5,71,69.3125,71,44.399128,712600
2000-08-08,72,72.375,68.5625,69.375,43.382961,728900
2000-08-09,69.625,69.625,67.3125,67.9375,42.484035,503000
2000-08-10,67.1875,68.5,65.75,66,41.272442,542600
2000-08-11,65.4375,68.1875,65.25,67.3125,42.382164,457600
2000-08-14,67.5625,70.125,67.5625,68.9375,43.405327,398600
2000-08-15,68.625,68.75,67.8125,68,42.815041,373500
2000-08-16,67.875,68.5,64.125,65.25,41.083542,566300
2000-08-17,65.5,69.5,65.375,68.5,43.129841,434300
2000-08-18,68.125,68.625,66.625,66.9375,42.146053,258300
2000-08-21,67.1875,67.25,64.3125,65.75,41.398373,403100
2000-08-22,65.75,66.9375,65.3125,66.4375,41.831253,122500
2000-08-23,66.6875,68.75,66.5,68.375,43.051155,297000
2000-08-24,68.375,68.8125,67.625,68.4375,43.090515,244600
2000-08-25,68.4375,68.4375,66.375,67.0625,42.224773,170900
2000-08-28,66.25,66.375,64.625,65,40.926144,266000
2000-08-29,65.875,66.125,65.0625,65.125,41.004848,201800
2000-08-30,66.375,66.875,65.8125,66.6875,41.988632,241600
2000-08-31,67.1875,69.9375,66.875,68.9375,43.405327,400400
2000-09-01,69,69,66.5625,66.625,41.949303,359000
2000-09-05,66.5,66.5,65.1875,65.5625,41.280312,581900
2000-09-06,65.8125,66.25,64.875,64.875,40.847446,236100
2000-09-07,65,67.3125,65,67,42.18541,285800
2000-09-08,66.75,69.375,66.75,69,43.444683,635100
2000-09-11,69,69.625,68.875,69.125,43.523388,170800
2000-09-12,69,69.4375,68.75,69.4375,43.720142,265100
2000-09-13,69.25,70.5,69.0625,69.6875,43.877548,415500
2000-09-14,71,74.0625,70.625,71.0625,44.743282,844300
2000-09-15,71.25,72.75,70.6875,70.875,44.62524,505200
2000-09-18,71.125,73.75,71.125,73.75,46.435432,755800
2000-09-19,73.75,74.625,72.3125,73.625,46.356728,484500
2000-09-20,73.375,74,71.375,72.1875,45.451618,715700
2000-09-21,72,73.5,72,73,45.963203,505100
2000-09-22,73,73,72.5625,73,45.963203,407700
2000-09-25,73,74.8125,72.375,73.9375,46.553486,478800
2000-09-26,74.875,77.25,74,76.625,48.245628,792200
2000-09-27,78,80,76.875,78.1875,49.229446,734500
2000-09-28,77.5,78.375,75.75,76.4375,48.127571,706900
2000-09-29,76.9375,76.9375,73.5,74,46.59285,594100
2000-10-02,75,77.8125,75,76.75,48.324322,748300
2000-10-03,77,77.375,75,75.625,47.615997,492500
2000-10-04,75.75,77.25,75.375,76,47.8521,298500
2000-10-05,74.5,79,74.5,78.625,49.504883,658500
2000-10-06,78.375,78.6875,76.375,77.25,48.639145,501100
2000-10-09,76.5,76.9375,74.75,75,47.222473,438000
2000-10-10,75.25,75.5,71.4375,71.9375,45.294205,426800
2000-10-11,71.6875,72.625,69.5,70.625,44.467827,901300
2000-10-12,70.75,71.3125,67.625,69.375,43.68079,693800
2000-10-13,68.5,71.125,68.375,70.625,44.467827,614200
2000-10-16,71.25,72.375,70.4375,71.75,45.176167,380300
2000-10-17,71.9375,73.1875,69.375,70.25,44.231709,322500
2000-10-18,70.25,70.9375,69.125,70.75,44.546516,457400
2000-10-19,71.5,72.8125,71.5,72.625,45.727089,520100
2000-10-20,74.125,74.125,71.875,71.875,45.254864,289800
2000-10-23,72,72.5,71.75,72,45.333569,354300
2000-10-24,72,77,72,76.875,48.403046,529100
2000-10-25,76.5,78,76.125,76.625,48.245628,675600
2000-10-26,76.875,77.1875,74,75.75,47.694687,593000
2000-10-27,75.5,77,75.5,76.75,48.324322,355400
2000-10-30,77,78.5,77,78.125,49.190071,765000
2000-10-31,76.625,77.25,76.5,76.875,48.403046,549000
2000-11-01,76,76.875,75.75,75.9375,47.812767,882200
2000-11-02,76,76.25,74.375,74.375,46.828968,312500
2000-11-03,73.75,74.5,72.8125,72.8125,45.845139,316200
2000-11-06,72.875,75.5,72.375,74.75,47.065071,500800
2000-11-07,74.75,76.9375,74.75,76.1875,47.970154,656600
2000-11-08,76,76.9375,75.6875,76.4375,48.127571,362600
2000-11-09,75.6875,75.9375,74.875,75.25,47.37986,468000
2000-11-10,75.25,77,74.75,75.8125,47.734035,377300
2000-11-13,75.1875,75.75,73.5,74.25,47.029392,440300
2000-11-14,73.75,77,73.75,76,48.137829,571500
2000-11-15,75.75,76.25,74.9375,74.9375,47.464855,199500
2000-11-16,75,76,74.9375,75.75,47.979473,422700
2000-11-17,75,77.75,75,77.625,49.167088,411200
2000-11-20,77,77.875,76.5,77.75,49.246269,406000
2000-11-21,77.75,77.75,76.4375,76.9375,48.731632,311500
2000-11-22,77.1875,77.1875,75.875,77.1875,48.889984,415700
2000-11-24,77,77.125,76.75,76.9375,48.731632,86700
2000-11-27,76.8125,77.25,76.75,77.1875,48.889984,335500
2000-11-28,77.1875,79,77.1875,78.5,49.721313,687200
2000-11-29,78.5,80,77.8125,80,50.671391,1170200
2000-11-30,80,81.1875,79.375,79.8125,50.552647,802500
2000-12-01,80.0625,81.25,80,80.25,50.829773,586800
2000-12-04,80,81.8125,79.5,81.6875,51.740269,600900
2000-12-05,81.6875,81.75,79.875,80.5625,51.027699,502700
2000-12-06,79.5,81.1875,79.3125,81,51.304783,791300
2000-12-07,81,82.375,80.25,82.1875,52.056957,434900
2000-12-08,82.9375,86.5,82.5,86.1875,54.590511,1206200
2000-12-11,85.5,85.9375,84.4375,84.4375,53.482098,679900
2000-12-12,84,84,82.25,82.3125,52.136112,389000
2000-12-13,82.0625,82.0625,79.4375,81,51.304783,673600
2000-12-14,81.25,81.9375,80.125,81.125,51.383972,900300
2000-12-15,81.375,82.25,80.625,80.6875,51.106853,461500
2000-12-18,80.9375,82,80.25,82,51.938194,551100
2000-12-19,82.5,82.5,79,79.0625,50.077583,411900
2000-12-20,78.375,78.625,77.125,78.125,49.483776,414600
2000-12-21,78.125,82.75,78.125,82.3125,52.136112,645900
2000-12-22,83.75,83.875,82.75,83.0625,52.611164,433100
2000-12-26,83.125,85.25,83,85.1875,53.957115,331300
2000-12-27,85.25,88,85.125,87.125,55.184311,725200
2000-12-28,86.875,89.25,86.25,88.5625,56.094826,260700
2000-12-29,88.5625,89.25,87.375,87.375,55.342682,403200
2001-01-02,87.125,88.5,83.4375,87.5,55.421841,939700
2001-01-03,87,87.0625,81.4375,81.625,51.700665,1019400
2001-01-04,78,78.375,71,75.4375,47.781567,3443300
2001-01-05,75.5625,75.75,73,75.375,47.741951,779300
2001-01-08,75.0625,76.375,74.75,75.625,47.900311,503900
2001-01-09,75.625,76,72.875,74.0625,46.910645,1142700
2001-01-10,74.1875,76.125,73.5,75,47.504459,631300
2001-01-11,76.25,79.375,75.4375,79.375,50.275505,1700800
