Stock Quotes for XRAY,,,,,,
Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.958333,8,7.770833,7.833333,6.766229,582200
2000-01-04,7.833333,7.916667,7.791667,7.833333,6.766229,317600
2000-01-05,7.833333,8.041667,7.833333,7.968733,6.883184,1188000
2000-01-06,7.875,8.020833,7.833333,7.979167,6.892198,534200
2000-01-07,7.958333,8.020833,7.708333,7.958333,6.874199,1401000
2000-01-10,7.958333,8.166667,7.854167,8.145833,7.036161,613200
2000-01-11,8.083333,8.1875,8.083333,8.145833,7.036161,581600
2000-01-12,8.156234,8.166667,7.916667,7.968733,6.883184,1068600
2000-01-13,7.958333,8.3125,7.916667,8.3125,7.180121,847800
2000-01-14,8.333333,8.369766,8.083333,8.208333,7.090147,1164000
2000-01-18,8.083333,8.145833,8.020833,8.041667,6.946184,540000
2000-01-19,8,8.083333,7.979167,8,6.91019,622200
2000-01-20,8,8.125,7.770833,7.770833,6.712241,1163400
2000-01-21,7.833333,8.020833,7.791667,7.963533,6.878695,1942800
2000-01-24,7.979167,8.166667,7.958333,8.125,7.018163,1599800
2000-01-25,8.208333,8.208333,7.958333,8.041667,6.946184,1480200
2000-01-26,8,8.125,7.958333,8.125,7.018163,594600
2000-01-27,8.125,8.3125,8.0625,8.145833,7.036161,715200
2000-01-28,8.145833,8.333333,8.145833,8.270833,7.144131,907800
2000-01-31,8.3125,8.333333,8.145833,8.25,7.126134,1355400
2000-02-01,8.25,8.375,8.125,8.333333,7.198115,2767200
2000-02-02,8.375,8.604167,8.333333,8.604167,7.432055,1298600
2000-02-03,8.5625,8.666667,8.5156,8.645833,7.468049,2058800
2000-02-04,8.666667,8.791667,8.583333,8.770833,7.576019,1044000
2000-02-07,8.833333,8.875,8.770833,8.833333,7.630005,1508400
2000-02-08,8.8125,8.854167,8.666667,8.8125,7.612011,421800
2000-02-09,8.854167,8.875,8.625,8.708333,7.522033,1130000
2000-02-10,8.666667,8.708333,8.520833,8.541667,7.37807,1025600
2000-02-11,8.5,8.541667,8.333333,8.458333,7.306089,1032200
2000-02-14,8.416667,8.479167,8.333333,8.354167,7.216112,753600
2000-02-15,8.395833,8.416667,8.208333,8.291667,7.162125,1576200
2000-02-16,8.333333,8.7656,8.25,8.458333,7.306089,1548600
2000-02-17,8.604167,8.708333,8.1875,8.3229,7.189106,953000
2000-02-18,8.3125,8.333333,8.270833,8.333333,7.198115,1114200
2000-02-22,8.354167,8.458333,8.25,8.416667,7.270099,656000
2000-02-23,8.416667,8.625,8.375,8.5625,7.396064,765200
2000-02-24,8.583333,8.604167,8.354167,8.395833,7.252102,1198400
2000-02-25,8.338533,8.541667,8.333333,8.5,7.342079,879800
2000-02-28,8.5,8.541667,8.083333,8.3854,7.243088,849600
2000-02-29,8.416667,8.625,7.833333,8.541667,7.37807,971600
2000-03-01,8.5625,8.625,8.375,8.604167,7.432055,814400
2000-03-02,8.541667,8.583333,8.4531,8.541667,7.37807,1179200
2000-03-03,8.458333,8.666667,8.458333,8.625,7.450048,491000
2000-03-06,8.458333,8.625,8.416667,8.416667,7.270099,1859400
2000-03-07,8.5,8.5,8.25,8.416667,7.270099,2130800
2000-03-08,8.375,8.458333,8.270833,8.291667,7.162125,1425600
2000-03-09,8.333333,8.583333,8.25,8.520833,7.360074,777800
2000-03-10,8.5,8.625,8.333333,8.4375,7.28809,799200
2000-03-13,8.343734,8.343734,8,8.3229,7.189106,847400
2000-03-14,8.208333,8.583333,8.208333,8.364567,7.225096,1437800
2000-03-15,8.416667,9.083333,8.416667,8.708333,7.522033,675800
2000-03-16,8.666667,9,8.645833,9,7.773961,822600
2000-03-17,8.666667,9,8.625,8.895833,7.68399,621800
2000-03-20,8.791667,9.333333,8.791667,9.1875,7.935925,842600
2000-03-21,9.125,9.458333,9,9.3125,8.043897,582800
2000-03-22,9.3125,9.3125,8.875,9.1875,7.935925,443400
2000-03-23,9.270833,9.270833,8.833333,9.083333,7.845947,859800
2000-03-24,9,9.125,8.895833,8.916667,7.701983,311000
2000-03-27,9.031234,9.208333,8.958333,9.083333,7.845947,462000
2000-03-28,8.958333,9.5,8.958333,9.458333,8.169863,1204800
2000-03-29,9.333333,9.541667,9,9.166667,7.970641,653000
2000-03-30,9.145833,9.333333,9,9.020833,7.843835,1941600
2000-03-31,9,9.625,9,9.458333,8.224251,2643600
2000-04-03,9.369766,9.375,9.083333,9.125,7.934407,452600
2000-04-04,9.052067,9.5,9.041667,9.145833,7.952523,837800
2000-04-05,9.166667,9.604167,9.125,9.166667,7.970641,749600
2000-04-06,9.291667,9.375,9.125,9.2031,8.002318,825200
2000-04-07,9.083333,9.333333,9.041667,9.270833,8.061215,425000
2000-04-10,9.208333,9.333333,9.125,9.125,7.934407,489600
2000-04-11,9.041667,9.375,9,9.145833,7.952523,581400
2000-04-12,9.041667,9.583333,9.041667,9.458333,8.224251,586400
2000-04-13,9.416667,9.645833,9,9.416667,8.188021,605600
2000-04-14,9.333333,9.583333,8.375,9,7.825714,1141400
2000-04-17,9,9.166667,8.833333,9.166667,7.970641,504600
2000-04-18,9.125,9.458333,9.083333,9.416667,8.188021,638000
2000-04-19,9.395833,9.583333,8.958333,9.020833,7.843835,1112000
2000-04-20,9,9.583333,8.958333,9.5729,8.323869,462200
2000-04-24,9.604167,9.645833,9.25,9.333333,8.115562,278000
2000-04-25,9.291667,10,9.291667,9.729167,8.459748,795800
2000-04-26,9.625,9.875,9.416667,9.666667,8.405401,933200
2000-04-27,9.5,10,9.5,9.854167,8.56844,889800
2000-04-28,9.8125,9.854167,9.666667,9.6875,8.423518,333800
2000-05-01,9.708333,9.723933,9.4375,9.666667,8.405401,1041600
2000-05-02,9.541667,9.770833,9.416667,9.604167,8.35106,655200
2000-05-03,9.708333,9.75,9.395833,9.416667,8.188021,492800
2000-05-04,9.708333,10.125,9.666667,9.838533,8.554838,1190600
2000-05-05,9.875,10.041667,9.791667,9.979167,8.67713,594600
2000-05-08,9.979167,10.25,9.875,10.166667,8.840161,822800
2000-05-09,10.208333,10.291667,9.979167,10.145833,8.822048,750800
2000-05-10,10.125,10.145833,9.666667,10.020833,8.713357,345200
2000-05-11,10.125,10.333333,10.125,10.166667,8.840161,683000
2000-05-12,10.166667,10.291667,9.9479,9.958333,8.659015,516200
2000-05-15,9.979167,10.875,9.875,10.875,9.456077,1012200
2000-05-16,10.666667,10.75,10.458333,10.583333,9.202468,911000
2000-05-17,10.583333,10.75,10.458333,10.604167,9.220579,774000
2000-05-18,10.458333,10.583333,10.333333,10.375,9.021317,726200
2000-05-19,10.291667,10.473933,10.291667,10.416667,9.057544,839400
2000-05-22,10.375,10.479167,9.895833,10,8.695243,754200
2000-05-23,10.125,10.333333,10,10.166667,8.840161,519200
2000-05-24,10.166667,10.25,10.041667,10.25,8.912621,381600
2000-05-25,10.166667,10.541667,10.166667,10.354167,9.003195,651800
2000-05-26,10.333333,10.520833,10.1875,10.4375,9.075658,217800
2000-05-30,10.375,10.458333,10.375,10.4375,9.075658,1296200
2000-05-31,10.395833,10.5,10.166667,10.229167,8.894507,594000
2000-06-01,10.375,10.375,10.208333,10.270833,8.930739,753800
2000-06-02,10.333333,10.395833,10.213533,10.291667,8.948853,956000
2000-06-05,10.375,10.375,10.083333,10.3125,8.96697,567600
2000-06-06,10.333333,10.458333,10.166667,10.395833,9.039433,493200
2000-06-07,10.375,10.458333,10.208333,10.208333,8.876394,629400
2000-06-08,10.166667,10.354167,10.166667,10.354167,9.003195,522000
2000-06-09,10.354167,10.4375,10.333333,10.354167,9.003195,311400
2000-06-12,10.354167,10.416667,10.125,10.291667,8.948853,639000
2000-06-13,10.208333,10.333333,10.125,10.3125,8.96697,290000
2000-06-14,10.166667,10.333333,10.020833,10.333333,8.985086,504600
2000-06-15,10.25,10.458333,10.25,10.4375,9.075658,681200
2000-06-16,9.833333,10.375,9.833333,10.348933,8.998646,850200
2000-06-19,10.291667,10.75,10.291667,10.583333,9.202468,615800
2000-06-20,10.625,10.770833,10.458333,10.5625,9.18435,234800
2000-06-21,10.25,10.729167,10.25,10.541667,9.166233,306200
2000-06-22,10.541667,10.734366,10.375,10.5625,9.239175,1234200
2000-06-23,10.416667,10.666667,10.291667,10.458333,9.148059,799400
2000-06-26,10.458333,10.520833,10.291667,10.333333,9.038717,1331400
2000-06-27,10.270833,10.291667,9.583333,9.9375,8.692472,3701000
2000-06-28,9.958333,10.458333,9.958333,10.458333,9.148059,735600
2000-06-29,10.333333,10.791667,10.0625,10.604167,9.275616,513000
2000-06-30,10.583333,10.583333,10.229167,10.270833,8.984047,2000600
2000-07-03,10.166667,10.291667,9.833333,10.083333,8.820039,323600
2000-07-05,10.020833,10.020833,9.916667,9.9375,8.692472,494400
2000-07-06,10.0625,10.375,9.916667,10.375,9.075166,617000
2000-07-07,10.1875,10.916667,10.166667,10.5,9.184506,496200
2000-07-10,10.5,11.1354,10.416667,11.0625,9.676531,975600
2000-07-11,11.0625,11.291667,10.958333,11.020833,9.640084,1384200
2000-07-12,11.291667,11.333333,11.020833,11.0625,9.676531,1256400
2000-07-13,11.125,11.166667,10.791667,10.833333,9.47607,644000
2000-07-14,10.916667,10.916667,10.5625,10.6406,9.307487,1801400
2000-07-17,10.666667,11.458333,10.625,10.895833,9.530742,580800
2000-07-18,10.958333,11.020833,10.666667,10.8125,9.457852,314000
2000-07-19,10.875,10.875,10.625,10.645833,9.312064,411800
2000-07-20,10.666667,10.791667,10.645833,10.708333,9.366735,465800
2000-07-21,10.6875,11.041667,10.645833,11,9.621859,1212000
2000-07-24,11.041667,11.125,10.875,11,9.621859,821400
2000-07-25,10.875,11.0625,10.875,11.020833,9.640084,1798800
2000-07-26,10.958333,11.145833,10.958333,11.0625,9.676531,704600
2000-07-27,11.145833,11.395833,11.145833,11.333333,9.91343,1314600
2000-07-28,11.364567,11.375,11.145833,11.333333,9.91343,438000
2000-07-31,11.333333,11.354167,11.145833,11.270833,9.858759,1314800
2000-08-01,11.229167,11.708333,11.229167,11.520833,10.077438,1431000
2000-08-02,11.5,12,11.5,11.8125,10.332569,1919000
2000-08-03,11.75,11.833333,11.479167,11.75,10.277897,807200
2000-08-04,11.791667,12.416667,11.791667,12.270833,10.733479,2744400
2000-08-07,12.458333,12.458333,12,12.208333,10.678806,1489800
2000-08-08,12.208333,12.291667,12.083333,12.244766,10.710676,1468200
2000-08-09,12.166667,12.291667,12,12,10.496573,490800
2000-08-10,12.0625,12.104167,11.875,11.916667,10.42368,821400
2000-08-11,11.916667,12.1875,11.6875,11.833333,10.350786,1163400
2000-08-14,11.906234,11.958333,11.583333,11.75,10.277897,1190400
2000-08-15,11.75,11.875,11.625,11.833333,10.350786,936800
2000-08-16,11.75,11.916667,11.708333,11.833333,10.350786,619400
2000-08-17,11.958333,11.958333,11.666667,11.916667,10.42368,1564400
2000-08-18,11.833333,12.166667,11.833333,12.041667,10.533022,220400
2000-08-21,11.958333,12.375,11.958333,12.333333,10.788145,836400
2000-08-22,12.3125,12.333333,11.833333,12.166667,10.642361,676800
2000-08-23,12.166667,12.25,11.791667,11.864567,10.378109,739400
2000-08-24,11.875,12.083333,11.875,12.0625,10.55124,654800
2000-08-25,12,12.020833,11.416667,11.458333,10.022771,1290200
2000-08-28,11.583333,11.583333,11.25,11.354167,9.931654,1237200
2000-08-29,11.208333,11.333333,11.041667,11.270833,9.858759,979800
2000-08-30,11.166667,11.208333,10.541667,10.875,9.512522,1675800
2000-08-31,11,11.875,10.958333,11.125,9.731201,1652000
2000-09-01,11.25,11.75,11.166667,11.6875,10.223222,657600
2000-09-05,11.666667,11.6875,11.208333,11.229167,9.822316,375800
2000-09-06,11.229167,11.604167,11.1875,11.5,10.059213,846000
2000-09-07,11.416667,11.541667,11.0625,11.458333,10.022771,1242600
2000-09-08,11.333333,12.333333,11.333333,12.166667,10.642361,962600
2000-09-11,11.958333,12,11.6875,11.895833,10.405463,865200
2000-09-12,11.875,12.083333,11.291667,11.375,9.949878,481800
2000-09-13,11.541667,11.625,11.4375,11.468734,10.031867,299000
2000-09-14,11.583333,11.75,11.5625,11.666667,10.205003,109400
2000-09-15,11.395833,11.666667,11.354167,11.541667,10.095666,526400
2000-09-18,11.593734,11.593734,11.25,11.484366,10.045543,472800
